"cluster","gene","avg_log2FC","pct.1","pct.2","p_val","p_val_adj"
"Subclone_04","PRPF3",0.546649561396755,0.28971028971029,0.104613149291682,8.84599621968843e-51,1.11551024207925e-50
"Subclone_04","VANGL1",0.640437879542194,0.231768231768232,0.0750090810025427,8.85454610015873e-51,1.11588482673708e-50
"Subclone_04","RHOU",0.647005884523829,0.378621378621379,0.162913185615692,8.93358291331561e-51,1.12513638706746e-50
"Subclone_04","AL135905.2",0.586691225919378,0.457542457542458,0.210860879041046,9.13191813569252e-51,1.14939183583292e-50
"Subclone_04","ZNF302",0.602368407641201,0.352647352647353,0.143479840174355,9.32952142023206e-51,1.17352470694743e-50
"Subclone_04","TBPL1",0.538355780604136,0.401598401598402,0.172720668361787,9.44261328492939e-51,1.18700355561652e-50
"Subclone_04","MBOAT7",0.564844248214095,0.366633366633367,0.149836541954232,9.64257126263739e-51,1.21137829932631e-50
"Subclone_04","PHACTR4",0.532285050959086,0.361638361638362,0.147293861242281,1.00858243934607e-50,1.26626797155816e-50
"Subclone_04","FBXO16",0.543010629037028,0.188811188811189,0.0517617144932801,1.05999536212673e-50,1.3299816337851e-50
"Subclone_04","COL12A1",0.636111357122482,0.314685314685315,0.121685434071922,1.34134395272345e-50,1.6819359908758e-50
"Subclone_04","CDKN2AIP",0.544707302393577,0.348651348651349,0.14021067925899,1.49865356736773e-50,1.87801198918262e-50
"Subclone_04","ERG28",0.533333678913089,0.464535464535465,0.210860879041046,1.56833795300517e-50,1.96410513839095e-50
"Subclone_04","PUS1",0.547758735490119,0.238761238761239,0.0773701416636397,1.68439046597551e-50,2.10812323651503e-50
"Subclone_04","ATG101",0.551044412218013,0.366633366633367,0.1507446422085,1.75391093144532e-50,2.19375976415925e-50
"Subclone_04","METAP1D",0.664775700578754,0.230769230769231,0.0744642208499818,1.84850159746706e-50,2.31062699683382e-50
"Subclone_04","ELMOD2",0.608653178676399,0.233766233766234,0.0759171812568108,2.03707756280259e-50,2.5447564807028e-50
"Subclone_04","RNF13",0.553256254508206,0.335664335664336,0.13367235742826,2.07503149224989e-50,2.59055117634194e-50
"Subclone_04","CARMIL1",0.616063164379958,0.201798201798202,0.0590265165274246,2.20714525237532e-50,2.75371184652052e-50
"Subclone_04","ETV4",0.552026877043505,0.337662337662338,0.132764257173992,2.20847690090946e-50,2.75371184652052e-50
"Subclone_04","WDR26",0.603690270023186,0.321678321678322,0.125681075190701,2.25241340673011e-50,2.80674567816836e-50
"Subclone_04","ANKZF1",0.536305063914432,0.243756243756244,0.0797312023247367,2.59578737861779e-50,3.23261192854022e-50
"Subclone_04","SNAPC3",0.536763525051503,0.294705294705295,0.108245550308754,2.66611750761789e-50,3.31813006548586e-50
"Subclone_04","LTV1",0.551997401771815,0.327672327672328,0.127860515800944,2.80692150925318e-50,3.49119590703132e-50
"Subclone_04","BCL10",0.629454664382675,0.368631368631369,0.156011623683255,3.05540690126992e-50,3.79789546459903e-50
"Subclone_04","UBR5",0.566933877254549,0.328671328671329,0.128405375953505,3.47203365561811e-50,4.31308528648212e-50
"Subclone_04","PDPR",0.659669494408946,0.262737262737263,0.0928078459861969,3.53527918433993e-50,4.38892512022337e-50
"Subclone_04","DPAGT1",0.581926633037203,0.290709290709291,0.106792589901925,3.54996927012292e-50,4.40442837484234e-50
"Subclone_04","TMEM60",0.544759424571752,0.346653346653347,0.138939338903015,3.70420836411133e-50,4.59294279493035e-50
"Subclone_04","YIPF6",0.576531918749613,0.294705294705295,0.109516890664729,3.80388227515613e-50,4.71360876723188e-50
"Subclone_04","C6orf89",0.577051891385603,0.367632367632368,0.153650563022158,4.06656398418161e-50,5.03599255007011e-50
"Subclone_04","CBLB",0.58264299091422,0.334665334665335,0.133127497275699,4.23552507366606e-50,5.24198647730948e-50
"Subclone_04","APTX",0.560154799942106,0.310689310689311,0.118779513258264,4.58230587900987e-50,5.66766342487306e-50
"Subclone_04","NUFIP1",0.52678798102962,0.316683316683317,0.120958953868507,4.75656709904124e-50,5.87956378126235e-50
"Subclone_04","VKORC1L1",0.561378728968169,0.276723276723277,0.0997094079186342,5.47292470493484e-50,6.76087054346491e-50
"Subclone_04","MSMO1",0.564587529728025,0.2997002997003,0.111696331274973,6.0160801001725e-50,7.42725938292902e-50
"Subclone_04","GATC",0.553442670012903,0.273726273726274,0.09698510715583,6.25303416393158e-50,7.71503289812657e-50
"Subclone_04","TC2N",0.571742202345162,0.311688311688312,0.118779513258264,7.01957589004742e-50,8.65545732434947e-50
"Subclone_04","MIR99AHG",0.593002232856299,0.40959040959041,0.180711950599346,7.06441804296389e-50,8.70538267771274e-50
"Subclone_04","TRIM13",0.554964427219315,0.25974025974026,0.089901925172539,7.59078604512329e-50,9.34825867626021e-50
"Subclone_04","TLE1",0.545281831156746,0.347652347652348,0.14021067925899,7.85279114879208e-50,9.66497372159026e-50
"Subclone_04","SMS",0.523530093854266,0.586413586413586,0.295132582637123,7.87447341285972e-50,9.685699154809e-50
"Subclone_04","LINC00649",0.57108632922216,0.296703296703297,0.110606610969851,8.58024639393751e-50,1.05473219347726e-49
"Subclone_04","GRHL2",0.619079644133271,0.196803196803197,0.0572103160188885,9.06572520601887e-50,1.11372545528487e-49
"Subclone_04","SLC25A38",0.582257928793715,0.328671328671329,0.130403196512895,9.14738461124595e-50,1.12306747836046e-49
"Subclone_04","DYRK3",0.628419363225896,0.280719280719281,0.102796948783146,9.24012685536409e-50,1.13375789636369e-49
"Subclone_04","CBX4",0.562746564297414,0.353646353646354,0.144387940428623,1.05802854475462e-49,1.29739858339009e-49
"Subclone_04","DNAJB1",0.526716397471889,0.871128871128871,0.531420268797675,1.11166584997064e-49,1.36233560045421e-49
"Subclone_04","SPON2",0.736252553127688,0.208791208791209,0.0632037776970578,1.1147563076282e-49,1.36528635349443e-49
"Subclone_04","NEMF",0.550205240090352,0.443556443556444,0.200690156193244,1.14391028646308e-49,1.4001349895509e-49
"Subclone_04","CHD6",0.545706729907783,0.370629370629371,0.155648383581547,1.18514540903666e-49,1.44971915478491e-49
"Subclone_04","MACF1",0.52834854083294,0.473526473526474,0.217399200871776,1.19895342890481e-49,1.46571323826994e-49
"Subclone_04","SLC19A2",0.650150485623605,0.210789210789211,0.0642934980021794,1.4190719163878e-49,1.73374699619767e-49
"Subclone_04","CWC27",0.545442030559486,0.357642357642358,0.146204140937159,1.87071366124148e-49,2.28414366451951e-49
"Subclone_04","NFAT5",0.614673251673909,0.350649350649351,0.144387940428623,1.96845474510831e-49,2.40201921306688e-49
"Subclone_04","ZNF737",0.580192373291568,0.215784215784216,0.0664729386124228,2.13016810607609e-49,2.59776598301962e-49
"Subclone_04","AAAS",0.564645903652879,0.358641358641359,0.148201961496549,2.17979631646195e-49,2.65666827112974e-49
"Subclone_04","LRRC58",0.562155514487617,0.33966033966034,0.13766799854704,2.19757214972622e-49,2.67670176580538e-49
"Subclone_04","NBPF26",0.642225758339506,0.245754245754246,0.0839084634943698,2.23878006772328e-49,2.72523440988834e-49
"Subclone_04","ZNF140",0.566536921808702,0.245754245754246,0.0824555030875409,2.31479112349112e-49,2.81604759548798e-49
"Subclone_04","IL6R",0.59285027652599,0.144855144855145,0.0330548492553578,2.36133501315324e-49,2.87092402814984e-49
"Subclone_04","TMEM67",0.657461984726123,0.191808191808192,0.0553941155103523,2.59400956342657e-49,3.15189497378685e-49
"Subclone_04","FAM171B",0.613120431380724,0.194805194805195,0.0566654558663276,2.68679326258492e-49,3.26265119925309e-49
"Subclone_04","DSEL",0.623020130046537,0.26973026973027,0.0973483472575372,2.81825434551461e-49,3.42021158436239e-49
"Subclone_04","FAM171A1",0.547655771873995,0.228771228771229,0.0733745005448602,2.9201298147245e-49,3.54169777407459e-49
"Subclone_04","PIK3R3",0.535442672918096,0.332667332667333,0.130403196512895,3.10282281510384e-49,3.76099735164102e-49
"Subclone_04","ATM",0.555114749527593,0.347652347652348,0.141482019614965,3.13246626578845e-49,3.79462903184549e-49
"Subclone_04","PET117",0.565167431890809,0.268731268731269,0.0957137667998547,3.41806885604763e-49,4.13809788867751e-49
"Subclone_04","LARP1",0.552508933773332,0.352647352647353,0.144569560479477,4.3423929399884e-49,5.25395395037919e-49
"Subclone_04","THBS3",0.66085554029908,0.228771228771229,0.0746458409008355,4.41645271631546e-49,5.34032976579863e-49
"Subclone_04","ZNF579",0.541320912381787,0.403596403596404,0.177079549582274,4.59840892583455e-49,5.55698963847076e-49
"Subclone_04","ANKS1A",0.545313692433978,0.210789210789211,0.0641118779513258,4.70563463163945e-49,5.68313361309112e-49
"Subclone_04","COX19",0.588565787211143,0.341658341658342,0.139847439157283,4.71385339049462e-49,5.68962388713896e-49
"Subclone_04","MYC",0.523801263548932,0.67032967032967,0.352161278605158,4.80276029241654e-49,5.79343822969425e-49
"Subclone_04","SGCE",0.565699332842852,0.327672327672328,0.130221576462041,4.97423009024205e-49,5.99666074773001e-49
"Subclone_04","MAPK15",0.622777736050388,0.155844155844156,0.0379585906284054,5.1495729571716e-49,6.20430476767662e-49
"Subclone_04","NUP153",0.595680698407895,0.254745254745255,0.0882673447148565,5.4696442436292e-49,6.58596537462878e-49
"Subclone_04","MAGT1",0.610991280616555,0.326673326673327,0.130221576462041,5.64019812753947e-49,6.78724203073342e-49
"Subclone_04","SNX14",0.580422289210799,0.274725274725275,0.0997094079186342,6.30798551569145e-49,7.58627241814967e-49
"Subclone_04","COMTD1",0.557507490403381,0.461538461538462,0.21358517980385,7.02730687470682e-49,8.44628230133031e-49
"Subclone_04","PRRG4",0.60781434046057,0.224775224775225,0.0724664002905921,7.49662036826326e-49,9.00494939130722e-49
"Subclone_04","IFT57",0.547523864097552,0.453546453546454,0.208136578278242,7.84731124473646e-49,9.42054171036789e-49
"Subclone_04","KREMEN2",0.677737918857262,0.177822177822178,0.0492190337813295,8.83202001929601e-49,1.05963047622028e-48
"Subclone_04","HP",0.771648090477049,0.48951048951049,0.246095168906647,9.49179430034597e-49,1.13810483217578e-48
"Subclone_04","CPT2",0.596730710779396,0.212787212787213,0.0662913185615692,9.60007488163638e-49,1.15039842799717e-48
"Subclone_04","NOTCH2NLB",0.588481728535636,0.222777222777223,0.0717399200871776,1.03539261897288e-48,1.23999116044656e-48
"Subclone_04","AC011447.3",0.671654438553936,0.238761238761239,0.0808209226298583,1.07344047302155e-48,1.28478811851771e-48
"Subclone_04","TOMM70",0.535058834483753,0.333666333666334,0.133127497275699,1.10293234999961e-48,1.31929706937753e-48
"Subclone_04","MUCL1",0.705686506850322,0.285714285714286,0.105702869596803,1.13710078704473e-48,1.35935539395664e-48
"Subclone_04","CCDC174",0.536683923205164,0.301698301698302,0.114602252088631,1.21721790473536e-48,1.45426272967188e-48
"Subclone_04","CD200",0.623327951493065,0.363636363636364,0.154921903378133,1.27007913242325e-48,1.51651239692328e-48
"Subclone_04","GAD1",0.651880035454831,0.155844155844156,0.0383218307301126,1.27118863974954e-48,1.51693155101377e-48
"Subclone_04","SQLE",0.595102070931049,0.326673326673327,0.131311296767163,1.3431732014803e-48,1.60187620927883e-48
"Subclone_04","CCNT2",0.557669516187246,0.276723276723277,0.100435888122049,1.37336673101356e-48,1.63690909536778e-48
"Subclone_04","ZMYND8",0.586822549994603,0.297702297702298,0.113149291681802,1.54226660537546e-48,1.83712519997077e-48
"Subclone_04","TMF1",0.534783319976815,0.406593406593407,0.179622230294224,1.62342962022014e-48,1.93265430978588e-48
"Subclone_04","PROM1",0.765053179532949,0.193806193806194,0.0572103160188885,1.63579499706468e-48,1.94621653428278e-48
"Subclone_04","B4GALT4",0.600693107269557,0.193806193806194,0.0568470759171813,1.70331697085137e-48,2.025347171048e-48
"Subclone_04","ZNF827",0.646793668902601,0.24975024975025,0.0877224845622957,1.8176340265685e-48,2.159992901448e-48
"Subclone_04","C4orf47",0.746302895111188,0.220779220779221,0.0722847802397385,1.8362902023819e-48,2.18086722373147e-48
"Subclone_04","MTR",0.543783524402959,0.337662337662338,0.136396658191064,2.59885301574506e-48,3.08469200681907e-48
"Subclone_04","KCNN4",0.565701533406642,0.221778221778222,0.0706501997820559,2.65506695193552e-48,3.1495456132094e-48
"Subclone_04","FMR1",0.586250751110514,0.347652347652348,0.144387940428623,2.71081984078447e-48,3.21377574485414e-48
"Subclone_04","CLCN3",0.554757474590926,0.293706293706294,0.110788231020705,3.00091740910476e-48,3.55558934728053e-48
"Subclone_04","PSEN2",0.572573317738272,0.167832167832168,0.0439520523065746,3.06130661663073e-48,3.62499303331051e-48
"Subclone_04","TASOR",0.541482755647642,0.381618381618382,0.163094805666546,3.15172102917805e-48,3.72984737180834e-48
"Subclone_04","KLHL23",0.526847886144435,0.321678321678322,0.125499455139847,3.1738723396724e-48,3.75384073290644e-48
"Subclone_04","XKR6",0.55822189007295,0.24975024975025,0.0860879041046131,3.30749593294397e-48,3.90956966069027e-48
"Subclone_04","ARID4A",0.568139430988208,0.362637362637363,0.152560842717036,3.40422410595104e-48,4.02152877253519e-48
"Subclone_04","PEX11A",0.573958764434992,0.177822177822178,0.0492190337813295,3.44341793919348e-48,4.06542849963811e-48
"Subclone_04","PFKP",0.558286302657053,0.323676323676324,0.128223755902652,3.55397714189265e-48,4.19348335326567e-48
"Subclone_04","CCDC28A",0.556735010790644,0.314685314685315,0.123864874682165,4.14826905253276e-48,4.89182671289241e-48
"Subclone_04","LZTS3",0.600479617797896,0.290709290709291,0.109335270613876,4.5548165432488e-48,5.36808078167213e-48
"Subclone_04","SLC49A4",0.578708432455968,0.178821178821179,0.0495822738830367,4.60194174847765e-48,5.42042608772397e-48
"Subclone_04","KRT5",0.720714956109184,0.294705294705295,0.112241191427534,4.60853348205636e-48,5.42499527022527e-48
"Subclone_04","SRF",0.542242748621708,0.295704295704296,0.11205957137668,4.83128924127211e-48,5.68386969561425e-48
"Subclone_04","BBC3",0.600864302148457,0.256743256743257,0.0906284053759535,4.83751337113635e-48,5.68784640933139e-48
