"CNV_clone","feature","mean_score","median_score","sd_score"
"Subclone_03","Proliferation",0.15054278853735,0.0769786256690845,0.220175069039254
"Subclone_04","Proliferation",0.11539209328854,0.0822710736384527,0.140552517463745
"Subclone_05","Proliferation",0.0833752757567825,0,0.165960233717099
"Subclone_01","Immune_modulatory",0.942902697068121,0.757189734324043,0.617514481104064
"Subclone_02","Immune_modulatory",0.874605420444168,0.839478358965713,0.298329073113275
"Subclone_03","Immune_modulatory",0.684134169782798,0.619011106192643,0.327520107617788
"Subclone_04","Immune_modulatory",0.984461218081911,0.957426545354247,0.331774197772507
"Subclone_05","Immune_modulatory",0.797562267551292,0.769402392407224,0.363026127433064
"Subclone_01","TF_SNAI1",0.354717256081237,0.268380964791859,0.396617627752835
"Subclone_02","TF_SNAI1",0.128410539056991,0.0726791771398337,0.171650463857842
"Subclone_03","TF_SNAI1",0.0792960820130475,0,0.144350166453347
"Subclone_04","TF_SNAI1",0.141787713977353,0.0624821364928488,0.193418174073526
"Subclone_05","TF_SNAI1",0.144092845716951,0,0.20866945172036
"Subclone_01","TF_SNAI2",0.414548063887708,0.314410061641594,0.476812335038414
"Subclone_02","TF_SNAI2",0.144370341898689,0.0734409211142459,0.199535427968914
"Subclone_03","TF_SNAI2",0.0881588197838565,0,0.164669116003038
"Subclone_04","TF_SNAI2",0.160461836107667,0.0622954083132193,0.228831013760018
"Subclone_05","TF_SNAI2",0.132579940205475,0,0.199358611148562
"Subclone_01","TF_ZEB1",0.813436824601692,0.593047110152936,0.929788911253774
"Subclone_02","TF_ZEB1",0.403782174501307,0.288035085767955,0.432650523046477
"Subclone_03","TF_ZEB1",0.224091889848925,0.1116495597332,0.318349039815633
"Subclone_04","TF_ZEB1",0.46531123927858,0.350069961358977,0.45945172833459
"Subclone_05","TF_ZEB1",0.427551505205793,0.355345870070983,0.489134208020195
"Subclone_01","TF_HIF1A",0.221600982960368,0.202430239401336,0.243210332436592
"Subclone_02","TF_HIF1A",0.330569522093258,0.30311337973644,0.219956379374307
"Subclone_03","TF_HIF1A",0.296642144094471,0.277779202868224,0.244112369748223
"Subclone_04","TF_HIF1A",0.350699291274044,0.301656468699578,0.268451757210858
"Subclone_05","TF_HIF1A",0.181523992567162,0.180928191549675,0.203301888723849
"Subclone_01","TF_EPAS1",0.0766874615489489,0,0.181531827173848
"Subclone_02","TF_EPAS1",0.190912655208761,0.147778284822713,0.233812974572059
"Subclone_03","TF_EPAS1",0.0730060683047563,0,0.161150788475405
"Subclone_04","TF_EPAS1",0.171560219601339,0.117209947587841,0.240609756621416
"Subclone_05","TF_EPAS1",0.0768922881822095,0,0.146845373855207
"Subclone_01","TF_JUN",0.805218248808972,0.701971218316278,0.636383717746024
"Subclone_02","TF_JUN",1.45578726343774,1.58849762086367,0.584661166844189
"Subclone_03","TF_JUN",0.653753829970461,0.494194112082002,0.583968981092905
"Subclone_04","TF_JUN",1.30428318831169,1.42942942684216,0.598644013938555
"Subclone_05","TF_JUN",0.906548185182303,0.953262465611331,0.602224889975541
"Subclone_01","TF_FOS",1.29893579042696,1.19119569849087,1.04239013908325
"Subclone_02","TF_FOS",2.53443901002822,2.78508130039459,1.05570848581827
"Subclone_03","TF_FOS",1.09841844140284,0.783547499250776,0.996453056769196
"Subclone_04","TF_FOS",2.27161741345543,2.51323887483323,1.0838654343849
"Subclone_05","TF_FOS",1.49041662253688,1.51648028160822,1.05505389492256
"Subclone_01","TF_ATF3",1.22013428058018,1.05450685426041,0.998674014124207
"Subclone_02","TF_ATF3",2.46766532445715,2.6861728510959,1.1225135965647
"Subclone_03","TF_ATF3",1.01776424348269,0.686811652567802,0.984281658132631
"Subclone_04","TF_ATF3",2.21850764854701,2.41350641465789,1.11972866989119
"Subclone_05","TF_ATF3",1.38180109228851,1.3402566085029,1.0015485137066
"Subclone_01","TF_EGR1",1.19852172186726,1.06099866001513,0.955862037183158
"Subclone_02","TF_EGR1",2.34446325397287,2.53358379155421,1.0354062198717
"Subclone_03","TF_EGR1",1.00336022397271,0.701927581498245,0.93132371018268
"Subclone_04","TF_EGR1",2.11564505564325,2.29495150862856,1.04485162731761
"Subclone_05","TF_EGR1",1.35139129424567,1.35826647572255,0.94938075208613
"Subclone_01","TF_STAT3",0.472428060081428,0.40759910137725,0.488227934016001
"Subclone_02","TF_STAT3",0.741733814045266,0.727153387033167,0.429043324924347
"Subclone_03","TF_STAT3",0.317278625419232,0.254555687104931,0.332931346097341
"Subclone_04","TF_STAT3",0.721225612487659,0.699353678110139,0.404105299176195
"Subclone_05","TF_STAT3",0.414016916291415,0.362589685112019,0.378827627191797
"Subclone_01","TF_NFKB1",0.237330022145093,0,0.344237556718425
"Subclone_02","TF_NFKB1",0.238159898305707,0.203427679136718,0.223090172202507
"Subclone_03","TF_NFKB1",0.118234895141493,0,0.1770517913719
"Subclone_04","TF_NFKB1",0.24883563760124,0.205490611530597,0.24578105246953
"Subclone_05","TF_NFKB1",0.152382589436596,0,0.200817406412001
"Subclone_01","TF_RELA",0.242087838861659,0,0.334865672293975
"Subclone_02","TF_RELA",0.263853098069774,0.229758747931054,0.225215217772324
"Subclone_03","TF_RELA",0.148348814201131,0.099899286606745,0.186079717123953
"Subclone_04","TF_RELA",0.270639032249072,0.229493358374017,0.234922237415794
"Subclone_05","TF_RELA",0.173305322116116,0.160262883508428,0.198996301583158
"Subclone_01","TF_MYC",0.181205661684993,0,0.265427119086145
