"","Smooth_muscle_cells","CNV_Subclone_01","T_NK_¦Ã¦ÄT","Macrophages","T_NK_CD4+ T effector","T_NK_CD8+ T cytotoxic","Myeloid_Macro-LYVE1","Myeloid_Macro-THBS1","T_NK_Th17","T_NK_CD8+ T effector","Myeloid_Macro-Inflammatory_M1","Myeloid_Macro-TIMD4","T_NK_CD4+ T naive","T cells","B_Bn_TCL1A","CNV_Subclone_02","T_NK_CD56dim cytotoxic NK","Myeloid_Macro-Inflammatory_TNF","CNV_Subclone_03","T_NK_CD8+ T resident memory","CNV_Subclone_04","Myeloid_Macro-M2-like","Myeloid_Macro-MCEMP1","Myeloid_Proliferating Myeloid","Myeloid_Monocyte-like","Myeloid_Macro-C3/CX3CR1","T_NK_MAIT","B cells","B_Classical-Bm_TXNIP","T_NK_CD56bright regulatory","Myeloid_cDC2","T_NK_CD4+ T regulatory","Myeloid_Interferon-Responsive Myeloid","Myeloid_cDC2-like","B_PC_IGHG","Monocytes","Myeloid_cDC1","T_NK_CD8+ T CXCL13","DC","B_Bm_stress-response","CNV_Subclone_05","Myeloid_mDC_LAMP3","NK cells","B_Early-PC_MS4A1low"
"CD2",0.0217187290521518,0.0904159132007233,0.542608695652174,0.171404327535002,0.64527790329869,0.568570034163006,0.003584229390681,0.00247831474597274,0.691408934707904,0.427953890489914,0.00628436763550668,0.00248138957816377,0.460767946577629,0.379746835443038,0.00084530853761623,0.0112044817927171,0.380173243503369,0.00293542074363992,0.00881488736532811,0.696078431372549,0.023976023976024,0,0.00439077936333699,0.0493273542600897,0.00587544065804935,0.00256739409499358,0.524096385542169,0.191198786039454,0,0.347176079734219,0.211091234347048,0.625,0.0119904076738609,0.0626702997275204,0.0213523131672598,0.278985507246377,0.0580912863070539,0.786046511627907,0.232227488151659,0,0.03125,0,0.355263157894737,0.0149253731343284
"CD209",0.00134066228716986,0.00180831826401447,0,0.0394569367840475,0,0,0.14900153609831,0.0322180916976456,0,0,0.0494893951296151,0.0397022332506203,0.000834724540901503,0,0,0.000933706816059757,0,0.00880626223091976,0.0029382957884427,0,0.003996003996004,0.142116182572614,0.0120746432491767,0.0672645739910314,0.00470035252643948,0.00641848523748395,0,0.0288315629742033,0,0,0.00715563506261181,0,0.0479616306954436,0.0272479564032698,0,0.0072463768115942,0,0,0.014218009478673,0,0,0,0,0
"CD22",0.0234615900254726,0.0207956600361664,0,0.0229104794229953,0,0.000488042947779405,0.0163850486431132,0.0117719950433705,0,0.00144092219020173,0.0204241948153967,0.0148883374689826,0,0.00253164556962025,0.243448858833474,0.0737628384687208,0,0.0342465753424658,0.0225269343780607,0,0.045954045954046,0.00518672199170124,0.0153677277716795,0.0369955156950673,0,0.0333761232349166,0,0.112291350531108,0.255924170616114,0,0.0250447227191413,0,0.0671462829736211,0.0136239782016349,0.00711743772241993,0.0072463768115942,0.012448132780083,0,0.014218009478673,0.0909090909090909,0.0208333333333333,0.0104166666666667,0,0.0746268656716418
"CD226",0.00603298029226438,0.0114526823387583,0.0601739130434783,0.0364870598218074,0.121554450971532,0.0307467057101025,0.0424987199180748,0.0210656753407683,0.144329896907216,0.0295389048991354,0.0180675569520817,0.0620347394540943,0.0651085141903172,0.0455696202531646,0,0.00373482726423903,0.0721847930702599,0.0117416829745597,0,0.0745098039215686,0.00699300699300699,0.00311203319502075,0.0384193194291987,0.07847533632287,0.00470035252643948,0.0154043645699615,0.0707831325301205,0.0561456752655539,0.00789889415481832,0.0448504983388704,0.300536672629696,0.0635964912280702,0.0815347721822542,0.316076294277929,0,0.0471014492753623,0.601659751037344,0.0418604651162791,0.132701421800948,0,0,0.0520833333333333,0.0263157894736842,0.0447761194029851
"CD24",0.087813379809626,0.213682941531043,0.000695652173913044,0.0954603309291472,0,0,0.00102406554019457,0,0,0.0180115273775216,0.0306362922230951,0.00248138957816377,0.000834724540901503,0.0632911392405063,0.210481825866441,0.747899159663866,0,0.0273972602739726,0.510284035259549,0.000980392156862745,0.78021978021978,0.0259336099585062,0.00109769484083425,0.0224215246636771,0.00470035252643948,0.0372272143774069,0,0.215477996965099,0.358609794628752,0.00332225913621262,0.00178890876565295,0.0087719298245614,0.00959232613908873,0.00272479564032698,0.0284697508896797,0.0108695652173913,0.004149377593361,0,0.0568720379146919,0.436363636363636,0.395833333333333,0,0.0657894736842105,0.0149253731343284
"CD244",0.00415605309022657,0.00934297769740808,0.0866086956521739,0.0144251166737378,0.00225937641211026,0.0170815031722792,0.00768049155145929,0.0142503097893432,0.00343642611683849,0.0309798270893372,0.00314218381775334,0.00827129859387924,0,0.010126582278481,0.00084530853761623,0.00186741363211951,0.223291626564004,0.00489236790606654,0,0.0980392156862745,0.000999000999000999,0.00103734439834025,0.0186608122941822,0.0168161434977578,0.0740305522914219,0.00513478818998716,0.0376506024096386,0.0136570561456753,0,0.144518272425249,0.0626118067978533,0.00219298245614035,0.0143884892086331,0.0653950953678474,0,0.0760869565217391,0.012448132780083,0.0604651162790698,0.028436018957346,0,0,0,0.0657894736842105,0
"CD247",0.0152835500737364,0.0705244122965642,0.468521739130435,0.119219346627068,0.453230908269318,0.403611517813568,0.000512032770097286,0,0.564948453608247,0.196685878962536,0.002356637863315,0.000827129859387924,0.504173622704507,0.40337552742616,0.00084530853761623,0.00280112044817927,0.671799807507218,0.00293542074363992,0.0039177277179236,0.402941176470588,0.00999000999000999,0.0020746887966805,0.00109769484083425,0.031390134529148,0.00235017626321974,0.00128369704749679,0.516566265060241,0.160849772382398,0.0410742496050553,0.631229235880399,0,0.471491228070175,0.00719424460431655,0,0.00355871886120996,0.246376811594203,0.029045643153527,0.381395348837209,0.199052132701422,0,0.0104166666666667,0.0104166666666667,0.263157894736842,0.0298507462686567
"CD27",0.0163560799034723,0.0560578661844485,0.364869565217391,0.0954603309291472,0.295978309986444,0.310883357735481,0.00102406554019457,0.000619578686493185,0.529209621993127,0.207492795389049,0.00314218381775334,0.00165425971877585,0.325542570951586,0.349367088607595,0.00760777683854607,0.0121381886087768,0.041385948026949,0,0.00783545543584721,0.364705882352941,0.00699300699300699,0,0.00109769484083425,0.0269058295964126,0.00235017626321974,0.00385109114249037,0.262048192771084,0.166919575113809,0.25434439178515,0.0913621262458472,0,0.603070175438597,0.0143884892086331,0.00272479564032698,0.569395017793594,0.199275362318841,0.045643153526971,0.576744186046512,0.113744075829384,0.145454545454545,0.0104166666666667,0,0.0263157894736842,0.835820895522388
"CD274",0.0112615632122268,0.0027124773960217,0.0048695652173913,0.0330929147221044,0.0207862629914144,0.00780868716447047,0.130056323604711,0.224907063197026,0.00962199312714777,0.00432276657060519,0.0384917517674784,0.0115798180314309,0.00834724540901502,0.00843881856540084,0.00084530853761623,0.00373482726423903,0.00769971126082772,0.00489236790606654,0.000979431929480901,0.00882352941176471,0.00799200799200799,0.0114107883817427,0.00329308452250274,0.0650224215246637,0.00235017626321974,0.00770218228498074,0.00903614457831325,0.0333839150227618,0.00315955766192733,0.00664451827242525,0.0035778175313059,0.0131578947368421,0.0863309352517986,0.291553133514986,0.0142348754448399,0.072463768115942,0.020746887966805,0.0232558139534884,0.0805687203791469,0,0,0.677083333333333,0.0131578947368421,0.0298507462686567
"CD276",0.205389462394423,0.068414707655214,0.000347826086956522,0.12091641917692,0.00135562584726615,0.000488042947779405,0.232974910394265,0.0960346964064436,0,0.000720461095100865,0.111547525530244,0.231596360628619,0.000834724540901503,0.00675105485232068,0,0.0737628384687208,0,0.202544031311155,0.0225269343780607,0,0.0989010989010989,0.0643153526970954,0.0812294182217344,0.292600896860987,0,0.186136071887035,0.00301204819277108,0.169954476479514,0,0,0.0536672629695885,0.00219298245614035,0.453237410071942,0.0871934604904632,0.0106761565836299,0.0144927536231884,0.024896265560166,0,0.033175355450237,0,0.0208333333333333,0.0208333333333333,0,0.0149253731343284
