"","Smooth_muscle_cells","CNV_Subclone_01","T_NK_¦Ã¦ÄT","Macrophages","T_NK_CD4+ T effector","T_NK_CD8+ T cytotoxic","Myeloid_Macro-LYVE1","Myeloid_Macro-THBS1","T_NK_Th17","T_NK_CD8+ T effector","Myeloid_Macro-Inflammatory_M1","Myeloid_Macro-TIMD4","T_NK_CD4+ T naive","T cells","B_Bn_TCL1A","CNV_Subclone_02","T_NK_CD56dim cytotoxic NK","Myeloid_Macro-Inflammatory_TNF","CNV_Subclone_03","T_NK_CD8+ T resident memory","CNV_Subclone_04","Myeloid_Macro-M2-like","Myeloid_Macro-MCEMP1","Myeloid_Proliferating Myeloid","Myeloid_Monocyte-like","Myeloid_Macro-C3/CX3CR1","T_NK_MAIT","B cells","B_Classical-Bm_TXNIP","T_NK_CD56bright regulatory","Myeloid_cDC2","T_NK_CD4+ T regulatory","Myeloid_Interferon-Responsive Myeloid","Myeloid_cDC2-like","B_PC_IGHG","Monocytes","Myeloid_cDC1","T_NK_CD8+ T CXCL13","DC","B_Bm_stress-response","CNV_Subclone_05","Myeloid_mDC_LAMP3","NK cells","B_Early-PC_MS4A1low"
"LMBR1L",0.0822222423511828,0.040994463936369,0.094101104948785,0.0719647537754283,0.0710095536171597,0.102882637777139,0.0504802039541448,0.030340261688401,0.105166737575807,0.0562190228188849,0.100140227927946,0.0616533610626852,0.095772013874298,0.0810073603491389,0.128572200108891,0.050820040091009,0.104449765331531,0.106690496434923,0.0144674220581358,0.0747350909468369,0.0472448008338343,0.076378568419943,0.055024235191503,0.05317135056519,0.0931316886822825,0.125946210602312,0.0741196310773121,0.096679044838074,0.0711952962134402,0.0614774702949674,0.174685319587294,0.101171605372245,0.120936745351343,0.164492161181996,0.0181682606986267,0.0931925726929468,0.105087747265241,0.0329137449191335,0.128599553001955,0,0.0466558269032027,0.242014487220197,0.101588515130451,0.0270660654308653
"LPA",0.00030387676654322,8.79519636734332e-05,0,0.000540422791012877,0,0,0,0,0,0,0,0,0,0,0,0.00214791580340268,0,0,0,0,0.000359642084198122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LPAR1",0.0752248836561714,0.00889941124799898,0,0.0152045303349328,0.000719697488737788,0,0.00897872384214098,0.00697960191234056,0,0.00214967366042557,0.014842056740285,0.0158929681925781,0,0.00594003551622064,0,0.00356161271395346,0,0.0365411189559892,0.00301887505366482,0,0.0169929711451611,0.00498671595498841,0.00492082103088356,0.0337533645110594,0.0119907527237286,0.0304072526545068,0,0.0217075331955448,0,0.00257297963947291,0.00107591905916001,0,0.0252304598377993,0.00527754315182032,0.00227648387229796,0,0,0,0.00256028234416399,0,0,0.0748610862002132,0.0559033145553907,0
"LPAR2",0.0292822917557958,0.0314002884939965,0.0493351931805174,0.0637530080165051,0.120022187688979,0.089815818790347,0.0395810058274802,0.0388129321209889,0.118400586319884,0.0811780954900096,0.0317478150595078,0.0811967525266571,0.0992638344771877,0.0830320583076744,0.0117036653823532,0.0951366680154449,0.0392283581778739,0.0335253327804239,0.0636396252437733,0.0771380281739817,0.126185452511866,0.0367963071513654,0.0311687911730113,0.0271012541129689,0.0791551540174862,0.0338643279817597,0.0913853344791394,0.057722722429721,0.0587690993791996,0.0483208025432658,0.0233717971015969,0.0695026931585094,0.0350126805936828,0.00752743668617725,0.0178034789788418,0.0763023921576713,0.0244796944202833,0.149601304613139,0.0219920540449436,0,0.0234827603575409,0.00843851858995577,0.0282931439821055,0.0394193452309758
"LPAR3",0.0067926335727499,0.014791299445802,0.000878436510247245,0.00646100527177333,0.0031247690183901,0,0,0,0.00196412499998202,0,0.00253618574177226,0,0,0.00805500567447767,0,0.134530907958281,0,0,0.034367090490686,0.00112507168221942,0.163385379593387,0.0016836254934524,0,0.00534078884591628,0,0,0,0.0151485848051954,0.00232584909592647,0.00263586098431885,0.0010263087038674,0,0.00163268324519915,0,0,0,0,0,0.00328529471237079,0,0.0399915243707026,0,0,0
"LPAR4",0.0167796908815078,0.00407598464641257,0,0,0,0,0,0,0,0,0,0,0,0.00106846962081526,0,0,0,0,0,0,0,0.00288149387327004,0,0,0,0,0,0.00627534477582909,0,0,0,0,0,0,0,0,0,0,0.0047521230211485,0,0,0,0,0
"LPL",0.0407281247817166,0.0160494562460952,0,0.0431119916197141,0,0,0.0159638331827423,0.0123191374526553,0,0,0.0449534005711333,0.00677992526001254,0,0.00398218734002094,0,0.0119055540430534,0,0.161447278751833,0.00366356138535703,0,0.0118558175712276,0,0.0021184600041404,0.105061150671648,0.00389527023481087,0.112652796254276,0,0.0419930667857594,0,0,0,0,0.111919565975155,0.0121250555768121,0,0.020533636211533,0,0,0,0,0.0126647404064865,0.0411061506592346,0,0.00353398186973935
"LRFN4",0.0277924423914864,0.0285339367384715,0.0228896030659573,0.0273464671830472,0.0318280851091838,0.0210850500738384,0.0233397589476277,0.00817897480377422,0.0120455689328615,0.0224335522134419,0.0120005138866451,0.0245695200012486,0.0105095790388236,0.0196666541039225,0.00250271563459965,0.111310963455456,0.0113395017208403,0.0263967277354691,0.0531897765634595,0.0527215577165516,0.10467642718808,0.0175008127039698,0.0283736431062875,0.0278895913982144,0.0148015304942845,0.0193179440808159,0.0134694204390983,0.0297465230414202,0.0169936992184083,0.0183050370523023,0.0217801863984412,0.0265664770155024,0.044851130516021,0.0138182578918709,0.00243806251779469,0.0288199665005361,0.0411378501621162,0.0935254869682727,0.0228689573622459,0.0217907879765838,0.12346881599085,0,0,0.00736011743124131
"LRFN5",0.00686287235484708,0.000308289472501027,0,0.000321987212174191,0,0,0,0,0,0,0,0,0,0,0,0.00167277685680023,0,0,0,0,0,0,0,0,0,0,0,0.00337063314860089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LRIG1",0.0525298845122619,0.0379076749325408,0.0788430905593158,0.0254669173476407,0.111177959567771,0.120030250297622,0.00229329793664244,0.0105204073540209,0.114213303789348,0.042181790300998,0.00566491125521881,0.000770905421470622,0.0768063248317254,0.0727248597552623,0.03134368379845,0.0960186206483175,0.0211977138551296,0.00309538626840616,0.0325156203812754,0.0343810817157772,0.114968061502426,0.00156425216095649,0.00238860969867695,0.00631874091082706,0.00147843252475884,0.00342364588117059,0.062885208396687,0.0355323689880526,0.0204904019646206,0.027256481415323,0.00285301488563946,0.0564104734537259,0.0016211017971203,0.00161036699890005,0.00313576909004658,0.0302065541237888,0.00397434429649988,0.0544545247510687,0.0169700188182438,0.0333604122218023,0.0634727877029081,0.00843851858995577,0.0453363729537677,0.0204480405385533
