"source_group","target_group","ligand","receptor","score","ligand_avg","receptor_avg","ligand_pct","receptor_pct"
"CNV_Subclone_04","Myeloid_Macro-Inflammatory_M1","MIF","CD74",12.6733783129899,2.66794014087478,4.8515377434137,0.99000999000999,0.989002356637863
"CNV_Subclone_02","Myeloid_Interferon-Responsive Myeloid","MIF","CD74",12.6349266794247,2.56651718010494,4.96938491407055,0.990662931839402,1
"CNV_Subclone_01","Myeloid_cDC2","MIF","CD74",12.6265227255484,2.54125547300835,5.99268195116116,0.829113924050633,1
"Myeloid_Macro-LYVE1","Myeloid_cDC1","MIF","CD74",12.6079139562023,1.99926733401839,6.63227775258739,0.950844854070661,1
"Myeloid_Interferon-Responsive Myeloid","Myeloid_Macro-Inflammatory_TNF","MIF","CD74",12.5567959386378,2.70153675035519,4.75777215488316,0.985611510791367,0.99119373776908
"Myeloid_Macro-THBS1","Myeloid_cDC2-like","MIF","CD74",12.5475317389514,2.1209306215973,6.10518209895897,0.969021065675341,1
"B_Early-PC_MS4A1low","Myeloid_Macro-Inflammatory_M1","MIF","CD74",12.5470157413077,2.6149518833086,4.8515377434137,1,0.989002356637863
"Myeloid_Macro-MCEMP1","Myeloid_mDC_LAMP3","MIF","CD74",12.5033715231277,2.26234705231963,5.84767373194563,0.945115257958288,1
"Myeloid_Macro-Inflammatory_M1","Myeloid_mDC_LAMP3","MIF","CD74",12.500906963467,2.35820189736673,5.84767373194563,0.906520031421838,1
"Myeloid_cDC1","Myeloid_cDC2-like","MIF","CD74",12.4986608380079,2.05575171846876,6.10518209895897,0.995850622406639,1
"Myeloid_Macro-TIMD4","Myeloid_cDC1","MIF","CD74",12.4959822899458,2.05031192310974,6.63227775258739,0.918941273779983,1
"CNV_Subclone_04","Myeloid_Macro-Inflammatory_TNF","MIF","CD74",12.4559784487509,2.66794014087478,4.75777215488316,0.99000999000999,0.99119373776908
"Myeloid_Macro-Inflammatory_TNF","DC","MIF","CD74",12.4510721874615,2.430389143034,5.60576585781069,0.913894324853229,1
"CNV_Subclone_03","B cells","MIF","CD74",12.4406978564807,3.0661623920733,4.19720501053463,0.969637610186092,0.996965098634294
"B cells","DC","MIF","CD74",12.3929491914599,2.27283076893429,5.60576585781069,0.972685887708649,1
"T_NK_CD4+ T effector","Myeloid_cDC2-like","MIF","CD74",12.3578535869062,2.17449601890007,6.10518209895897,0.930863081789426,1
"B_Early-PC_MS4A1low","Myeloid_Macro-Inflammatory_TNF","MIF","CD74",12.3317835079284,2.6149518833086,4.75777215488316,1,0.99119373776908
"Myeloid_Proliferating Myeloid","Myeloid_Interferon-Responsive Myeloid","MIF","CD74",12.3235000161066,2.51942695338774,4.96938491407055,0.984304932735426,1
"CNV_Subclone_01","Myeloid_mDC_LAMP3","MIF","CD74",12.3209918146411,2.54125547300835,5.84767373194563,0.829113924050633,1
"Myeloid_Macro-THBS1","Myeloid_cDC2","MIF","CD74",12.3163184594376,2.1209306215973,5.99268195116116,0.969021065675341,1
"Myeloid_cDC1","Myeloid_cDC2","MIF","CD74",12.2683481022436,2.05575171846876,5.99268195116116,0.995850622406639,1
"CNV_Subclone_03","Myeloid_Macro-THBS1","MIF","CD74",12.2440097648655,3.0661623920733,4.12854209076435,0.969637610186092,0.997521685254027
"Smooth_muscle_cells","Myeloid_Interferon-Responsive Myeloid","MIF","CD74",12.2376246056676,2.67023686459798,4.96938491407055,0.922241587344148,1
"CNV_Subclone_05","B_Bm_stress-response","MIF","CD74",12.2324337105236,2.59194329842544,5.14844331157228,0.916666666666667,1
"Myeloid_Macro-Inflammatory_TNF","B_Bn_TCL1A","MIF","CD74",12.2293057120859,2.430389143034,5.52929115422946,0.913894324853229,0.995773457311919
"Monocytes","Myeloid_cDC1","MIF","CD74",12.2291574560127,1.91320398373947,6.63227775258739,0.963768115942029,1
"Myeloid_Macro-Inflammatory_TNF","Myeloid_Macro-C3/CX3CR1","MIF","CD74",12.2031798520318,2.430389143034,5.49415889180462,0.913894324853229,1
"CNV_Subclone_02","Myeloid_Macro-Inflammatory_M1","MIF","CD74",12.1996347873137,2.56651718010494,4.8515377434137,0.990662931839402,0.989002356637863
"NK cells","Myeloid_cDC2-like","MIF","CD74",12.1925854920265,2.23203945332629,6.10518209895897,0.894736842105263,1
"B cells","B_Bn_TCL1A","MIF","CD74",12.1722179467671,2.27283076893429,5.52929115422946,0.972685887708649,0.995773457311919
"Myeloid_Macro-Inflammatory_TNF","B_Classical-Bm_TXNIP","MIF","CD74",12.160224985062,2.430389143034,5.47481959932758,0.913894324853229,1
"B cells","Myeloid_Macro-C3/CX3CR1","MIF","CD74",12.1462140451464,2.27283076893429,5.49415889180462,0.972685887708649,1
"T_NK_CD4+ T effector","Myeloid_cDC2","MIF","CD74",12.1301355053722,2.17449601890007,5.99268195116116,0.930863081789426,1
"B cells","B_Classical-Bm_TXNIP","MIF","CD74",12.1034596962945,2.27283076893429,5.47481959932758,0.972685887708649,1
"Myeloid_cDC2","Myeloid_cDC2-like","MIF","CD74",12.0752591720387,1.9957212509056,6.10518209895897,0.991055456171735,1
"Myeloid_Macro-THBS1","Myeloid_mDC_LAMP3","MIF","CD74",12.0182937316697,2.1209306215973,5.84767373194563,0.969021065675341,1
"T_NK_CD4+ T naive","Myeloid_cDC2-like","MIF","CD74",12.014899304386,2.13361498690478,6.10518209895897,0.92237061769616,1
"CNV_Subclone_02","Myeloid_Macro-Inflammatory_TNF","MIF","CD74",11.9903615469016,2.56651718010494,4.75777215488316,0.990662931839402,0.99119373776908
