"ligand","receptor"
"CALM1","PDE1B"
"CALM3","PDE1B"
"CALM2","PDE1C"
"CALM1","PDE1C"
"CALM3","PDE1C"
"RELN","ITGB1"
"CALM2","GRM7"
"CALM1","GRM7"
"CALM3","GRM7"
"COL1A1","ITGB1"
"VTN","ITGB1"
"PENK","OPRK1"
"PENK","OPRL1"
"CD14","TLR4"
"IRAK4","TLR4"
"AFDN","EPHA7"
"AFDN","EPHB2"
"AFDN","EPHB6"
"AFDN","NECTIN1"
"AFDN","NECTIN2"
"AFDN","NECTIN3"
"PDGFB","PDGFRB"
"BMP2","BMPR1A"
"IL13","IL4R"
"IL7","IL2RG"
"WNT1","FZD8"
"CTSG","F2RL1"
"PRSS2","F2RL1"
"COL1A1","DDR1"
"EREG","ERBB4"
"WNT3A","FZD8"
"NLGN2","NRXN3"
"NRXN3","NLGN2"
"WNT7B","LRP5"
"VEGFD","KDR"
"FGF1","FGFR4"
"NLGN2","NRXN1"
"NRXN1","NLGN2"
"NOG","GDF5"
"BMP7","ACVR2A"
"CGA","TSHR"
"CLCF1","CNTFR"
"SEMA7A","PLXNC1"
"TLN1","ITGB5"
"WNT1","FZD3"
"BMP7","ACVR1"
"IL12A","IL12RB2"
"VEGFA","FLT1"
"GPHA2","TSHR"
"OMG","LINGO1"
"WNT11","FZD6"
"CALM1","INSR"
"HMGB1","TLR4"
"VEGFC","FLT4"
"ANXA1","FPR1"
"FPR1","ANXA1"
"IL34","CSF1R"
"NTN3","NEO1"
"AGRN","LRP4"
"FGF2","FGFR4"
"LINGO1","RTN4"
"RTN4","LINGO1"
"WNT11","FZD3"
"NRTN","GFRA1"
"CALM2","INSR"
"TNFSF4","TNFRSF4"
"TNFRSF4","TNFSF4"
"FGF13","SCN5A"
"NLGN3","NRXN1"
"NRXN1","NLGN3"
"IGF2","INSR"
"MIF","CD74"
"CTSG","F2R"
"INHBA","ACVR2A"
"NLGN3","NRXN3"
"NRXN3","NLGN3"
"GNAS","PTGIR"
"IL4","IL13RA1"
"LIF","IL6ST"
"RSPO1","ZNRF3"
"NLGN1","NRXN3"
"NRXN3","NLGN1"
"WNT5A","FZD3"
"HLA-G","KIR2DL4"
"GNAS","CRHR1"
"GNAS","GLP1R"
"CXCL11","ACKR3"
"NRXN2","NLGN2"
"NLGN2","NRXN2"
"TNFSF15","TNFRSF6B"
"CALM2","EGFR"
"IL33","IL1RL1"
"TIE1","TEK"
"S100A8","TLR4"
"FGF5","FGFR1"
"SELE","SELPLG"
"SELPLG","SELE"
"WNT7B","FZD10"
"GNAI2","ADCY1"
"ADCY1","GNAI2"
"PLAU","PLAUR"
"CALM1","EGFR"
