"ligand","receptor"
"BMP6","ACVR1"
"GDF5","ACVR1"
"NRTN","GFRA3"
"TGFB2","ACVR1"
"GPC3","CD81"
"VEGFA","TYRO3"
"MDK","LRP2"
"NRG1","GPC1"
"PLAU","LRP2"
"LRPAP1","LRP2"
"ARPC5","LRP2"
"AGT","LRP2"
"AVP","LRP2"
"ALB","LRP2"
"APOA2","LRP2"
"AGRN","LRP2"
"GPC3","LRP2"
"TF","LRP2"
"LPA","LRP2"
"CUBN","LRP2"
"HSPA8","LRP2"
"SCGB1A1","LRP2"
"APOC2","LRP2"
"HSPG2","LRP2"
"LPL","LRP2"
"LCN2","LRP2"
"ACTR2","LRP2"
"LEP","LRP2"
"KDR","SEMA6D"
"SEMA6D","KDR"
"CXCL8","KDR"
"GDNF","GFRA3"
"COL18A1","KDR"
"TNFSF12","TNFRSF8"
"WNT5A","MCAM"
"LAMA1","GPC1"
"APP","GPC1"
"COL18A1","GPC1"
"VEGFA","GPC1"
"IL18","IL18RAP"
"CNTNAP1","RTN4"
"RTN4","CNTNAP1"
"TNC","ITGA9"
"VEGFC","ITGA9"
"NPY","ADRA2A"
"SPP1","ITGA9"
"F13A1","ITGA9"
"VEGFD","ITGA9"
"GNAI2","ADRA2A"
"ADAM12","ITGA9"
"VCAM1","ITGA9"
"TGM2","ITGA9"
"VEGFA","ITGA9"
"CSF2","ITGA9"
"ADAM15","ITGA9"
"FN1","ITGA9"
"NPPC","NPR3"
"NPPB","NPR3"
"ADRA2A","GNAI2"
"VIP","NPR3"
"NPPA","NPR3"
"SEMA3D","NRP1"
"SEMA3E","NRP1"
"CNTN2","NRP1"
"AFDN","NRXN2"
"CALM2","CACNA1C"
"NCAM1","CACNA1C"
"AGT","ADRA2A"
"RIMS1","CACNA1C"
"CALM1","CACNA1C"
"VCAM1","ITGB7"
"NPW","ADRA2A"
"FN1","ITGB7"
"NRG3","ERBB3"
"AREG","ERBB3"
"ERBB3","AREG"
"TGFA","ERBB3"
"SCGB1A1","LMBR1L"
"CXCL12","ADRA2A"
"GPC3","IGF1R"
"GNAI2","IGF1R"
"CAMP","IGF1R"
"HSP90B1","ASGR1"
"HP","ASGR1"
"SEMA4D","ERBB2"
"HLA-A","ERBB2"
"ERBB2","HLA-A"
"NRG4","ERBB2"
"HSP90B1","ERBB2"
"CXCL3","ADRA2A"
"L1CAM","ERBB2"
"NRG2","ERBB2"
"HSP90AA1","ERBB2"
"CCL5","ADRA2A"
"BTC","ERBB2"
"IFNE","IFNAR1"
"BCAN","EGFR"
"CALM1","PTH2R"
"ZP3","EGFR"
"FGF1","EGFR"
"CXCL11","ADRA2A"
"NRG4","EGFR"
"L1CAM","EGFR"
"FGL1","EGFR"
"FGF13","EGFR"
"HSP90AA1","EGFR"
"CAMP","EGFR"
"VEGFA","EGFR"
"CALM1","HTR2C"
"NTF3","NTRK2"
"NTNG2","LRRC4C"
"SPINT1","ST14"
"PDYN","ADRA2A"
"APLN","ADRA2A"
"CCL25","ADRA2A"
"POMC","ADRA2A"
"SAA1","ADRA2A"
"CXCL8","ADRA2A"
"PYY","ADRA2A"
"CXCL2","ADRA2A"
"CXCL13","ADRA2A"
"CXCL10","ADRA2A"
"PPBP","ADRA2A"
"PMCH","ADRA2A"
"CXCL5","ADRA2A"
"CCL19","ADRA2A"
"PNOC","ADRA2A"
"APP","ADRA2A"
"CXCL1","ADRA2A"
"NPB","ADRA2A"
"PPY","ADRA2A"
"CXCL9","ADRA2A"
"CXCL16","ADRA2A"
"CCL20","ADRA2A"
"PENK","ADRA2A"
"CCL28","ADRA2A"
"PF4","ADRA2A"
"CORT","ADRA2A"
"ANXA1","ADRA2A"
"PDGFC","FLT1"
"VEGFC","FLT1"
"VEGFD","FLT1"
"SORBS1","ITGA1"
"COL4A6","ITGA1"
"COL4A5","ITGA1"
"LAMA2","ITGA1"
"LAMA1","ITGA1"
"COL6A1","ITGA1"
"COL4A4","ITGA1"
"COL5A1","ITGA1"
"COL6A2","ITGA1"
"COL4A3","ITGA1"
"COL2A1","ITGA1"
"VEGFD","ITGA1"
"COL6A3","ITGA1"
"COL5A2","ITGA1"
"COL1A2","ITGA1"
"SAA1","MTNR1A"
"MATN1","ITGA1"
"COL4A1","ITGA1"
"FBN1","ITGB6"
"FN1","ITGB6"
"SFTPD","LY96"
"BGN","LY96"
"WNT1","FZD7"
"GNAS","ADCY8"
"IL16","CCR5"
"GNAI2","ADCY8"
"CALM3","ADCY8"
"WNT4","FZD1"
"CXCL1","MTNR1A"
"B2M","CD1A"
"IL24","IL10RB"
"PENK","OGFR"
"PIP","NPTN"
"MDK","GPC2"
"FGF14","FGFR4"
"FGF11","FGFR4"
"FGF13","FGFR4"
"FGF12","FGFR4"
"L1CAM","ITGA5"
"PLAU","ITGA5"
"SPP1","ITGA5"
"CCN1","ITGA5"
"VEGFD","ITGA5"
"FBN1","ITGA5"
"ANGPT1","ITGA5"
"COL18A1","ITGA5"
"ADAM15","ITGA5"
"ADAM17","ITGA5"
"ANGPTL3","ITGA5"
"FN1","ITGA5"
"GNAI2","ADCY9"
"GNAI2","LHCGR"
"GNAS","LHCGR"
"GNAI2","CXCR1"
"CXCL3","CXCR1"
"CXCL2","CXCR1"
"IL17A","IL17RC"
"IL17F","IL17RC"
"FN1","IL17RC"
"PLAU","ITGB5"
"EDIL3","ITGB5"
"SORBS1","ITGB5"
"SPP1","ITGB5"
"COL4A2","ITGB5"
"CCN1","ITGB5"
"ADAM9","ITGB5"
"COL18A1","ITGB5"
"LTBP3","ITGB5"
"LTBP1","ITGB5"
"COL4A6","ITGA2"
"COL4A5","ITGA2"
"LAMA2","ITGA2"
"LAMA1","ITGA2"
"LAMC3","ITGA2"
"COL6A1","ITGA2"
"COL4A4","ITGA2"
"COL11A1","ITGA2"
"COL6A2","ITGA2"
"COL4A3","ITGA2"
"COL2A1","ITGA2"
"VEGFD","ITGA2"
"MMP1","ITGA2"
"POMC","MTNR1A"
"HSPG2","ITGA2"
"LAMB3","ITGA2"
"CHAD","ITGA2"
"COL1A2","ITGA2"
"COL4A1","ITGA2"
"FN1","ITGA2"
"COL7A1","ITGA2"
"COL3A1","ITGA2"
"NUCB2","ERAP1"
"TNFSF13","TNFRSF11B"
"FN1","TNFRSF11B"
"RIMS1","SLC18A2"
"FAT4","DCHS1"
"DCHS1","FAT4"
"B2M","CD3D"
"HLA-A","CD3D"
"HLA-C","CD3D"
"HLA-B","CD3D"
"C4A","C3AR1"
"PDYN","MTNR1A"
"AGT","MTNR1A"
"CXCL12","MTNR1A"
"CCL5","MTNR1A"
"CXCL11","MTNR1A"
"APLN","MTNR1A"
"NPY","MTNR1A"
"CCL25","MTNR1A"
"CALR","MTNR1A"
"CXCL8","MTNR1A"
"PYY","MTNR1A"
"CXCL2","MTNR1A"
"CXCL10","MTNR1A"
"PMCH","MTNR1A"
"CCL19","MTNR1A"
"NPB","MTNR1A"
"PPY","MTNR1A"
"CXCL9","MTNR1A"
"CCL20","MTNR1A"
"NPW","MTNR1A"
"PENK","MTNR1A"
"CCL28","MTNR1A"
"CORT","MTNR1A"
"ANXA1","MTNR1A"
"GIP","INSR"
"CALCA","ADRB2"
"FN1","ROBO4"
"AVP","ADRB2"
"PTHLH","ADRB2"
"TF","ADRB2"
"POMC","ADRB2"
"RLN2","ADRB2"
"HSPA8","ADRB2"
"ADCYAP1","ADRB2"
"ADM","ADRB2"
"CGA","ADRB2"
"VIP","ADRB2"
"ADM2","ADRB2"
"CALCB","ADRB2"
"ACTR2","ADRB2"
"GIP","ADRB2"
"INSL3","ADRB2"
"GNAI2","S1PR1"
"PDGFB","S1PR1"
"TSLP","IL7R"
"GNAI2","CHRM1"
"CHRM1","GNAI2"
"LAMA3","SDC2"
"LAMA1","SDC2"
"HRAS","SDC2"
"FN1","SDC2"
"GNAI2","P2RY12"
"NPY","NPFFR2"
"CALM1","GP6"
"CXCL2","XCR1"
"C4B","CD46"
"B2M","LILRB1"
"SEMA4D","MET"
"SEMA5A","MET"
"CD55","ADGRE2"
"GHRL","GHRHR"
"IL17F","IL17RA"
"AVP","PTH1R"
"POMC","PTH1R"
"RLN2","PTH1R"
"ADCYAP1","PTH1R"
"CALCA","PTH1R"
"ADM","PTH1R"
"CGA","PTH1R"
"VIP","PTH1R"
"ADM2","PTH1R"
"CALCB","PTH1R"
"GIP","PTH1R"
"INSL3","PTH1R"
"CCL4","CCR8"
"AVP","VIPR1"
"PTHLH","VIPR1"
"POMC","VIPR1"
"RLN2","VIPR1"
"CALCA","VIPR1"
"ADM","VIPR1"
"CGA","VIPR1"
"ADM2","VIPR1"
"GNAS","VIPR1"
"CALM1","VIPR1"
"CALCB","VIPR1"
"GIP","VIPR1"
"INSL3","VIPR1"
"GHRL","GPR39"
"APOD","LEPR"
"RTN4","RTN4RL1"
"CCL25","CCR10"
"CCL7","CCR10"
"PPY","NPY2R"
"CXCL12","CCR4"
"CCL3","CCR4"
"PTGS2","PTGDR2"
"IL6","F3"
"F7","F3"
"PTN","PTPRB"
"B2M","KIR2DL1"
"HLA-A","KIR2DL1"
"BMP5","HJV"
"RGMA","HJV"
"BMP2","HJV"
"IL22","IL21R"
"CCN1","CAV1"
"PTGS2","CAV1"
"MMP12","PLAUR"
"LAMB3","COL17A1"
"FN1","PLAUR"
"FGF14","FGFR3"
"FGF12","FGFR3"
"LEFTY2","ACVR2B"
"ADM","ADRB3"
"TNF","TRADD"
"B2M","KIR2DL3"
"HLA-A","KIR2DL3"
"CGA","ADRB3"
"HLA-B","KIR2DL3"
"CD5L","CD5"
"AVP","ADRB3"
"PTHLH","ADRB3"
"POMC","ADRB3"
"RLN2","ADRB3"
"ADCYAP1","ADRB3"
"VIP","ADRB3"
"ADM2","ADRB3"
"CALCB","ADRB3"
"GIP","ADRB3"
"INSL3","ADRB3"
"SAA1","GRM7"
"IFNE","IFNAR2"
"MDK","SDC3"
"PYY","GRM7"
"SHBG","SLC37A1"
"CALM1","KCNQ5"
"LAMA2","RPSA"
"LAMA1","RPSA"
"LAMB2","RPSA"
"ICAM2","ITGAL"
"F8","ASGR2"
"HP","ASGR2"
"EDN2","KEL"
"EDN1","KEL"
"NCAM1","GFRA1"
"ARTN","GFRA1"
"ARTN","RET"
"VEGFA","RET"
"TNF","FAS"
"CALM1","FAS"
"POMC","GRM7"
"PLAU","IGF2R"
"PDYN","GRM7"
"AGT","GRM7"
"CXCL12","GRM7"
"CCL5","GRM7"
"NPY","GRM7"
"CCL25","GRM7"
"CXCL2","GRM7"
"CXCL1","GRM7"
"PPY","GRM7"
"CXCL9","GRM7"
"CCL20","GRM7"
"CCL28","GRM7"
"CORT","GRM7"
"ANXA1","GRM7"
"TF","TFRC"
"B2M","TFRC"
"HRAS","TLR9"
"TLR9","HRAS"
"PPY","NPY1R"
"B2M","CD247"
"COL4A6","CD47"
"COL4A4","CD47"
"COL4A3","CD47"
"COL4A1","CD47"
"CD55","CR1"
"C4A","CR1"
"C4B","CR1"
"C1QA","CR1"
"GNAS","ADORA1"
"AFDN","NECTIN4"
"AFDN","F11R"
"EDN1","ADGRL4"
"CCL8","ACKR1"
"B2M","CD1B"
"PSAP","CD1B"
"COL2A1","ITGA10"
"MDK","TSPAN1"
"GDF9","BMPR1A"
"GDF5","BMPR1A"
"LTB","CD40"
"ANGPTL2","TIE1"
"NTF4","BEX3"
"BDNF","BEX3"
"CXCL12","SDC4"
"LAMA1","SDC4"
"BMP7","ENG"
"BMP2","ENG"
"HSPA1A","TLR4"
"RIMS1","SLC18A3"
"COLQ","MUSK"
"GDF9","BMPR2"
"RGMA","BMPR2"
"GDF9","TGFBR1"
"HLA-C","NOTCH4"
"GDNF","EDNRB"
"ADCYAP1","GPR20"
"ADM","GPR20"
"POMC","GPR20"
"CGA","GPR20"
"RLN2","GPR20"
"CALCB","GPR20"
"AVP","GPR20"
"ADM2","GPR20"
"PTHLH","GPR20"
"INSL3","GPR20"
"NPNT","ITGA8"
"MEPE","PHEX"
"SPTBN2","PTPRA"
"NCAM1","PTPRA"
"IRAK4","TLR7"
"MDK","SDC1"
"SLIT2","SDC1"
"B2M","KLRC2"
"B2M","KLRD1"
"KLRD1","B2M"
"HLA-B","KLRD1"
"KLRD1","HLA-B"
"APOC1","VLDLR"
"APOC4","VLDLR"
"B2M","KIR3DL1"
"B2M","LILRB2"
"HLA-A","LILRB2"
"HLA-B","LILRB2"
"MDK","PTPRZ1"
"VEGFC","ITGB1"
"LAMA2","ITGB1"
"LAMB2","ITGB1"
"NPNT","ITGB1"
"DSPP","ITGB1"
"MDK","ITGB1"
"COL4A4","ITGB1"
"COL4A3","ITGB1"
"ADAM9","ITGB1"
"CHAD","ITGB1"
"ANGPT1","ITGB1"
"VEGFA","ITGB1"
"MDK","ITGA4"
"CCN1","ITGB2"
"SPON2","ITGB2"
"ICAM2","ITGB2"
"FGF1","FGFRL1"
"VEGFA","SIRPA"
"CGA","FSHR"
"SLIT2","ROBO1"
"LAMA2","ITGA6"
"ADAM9","ITGA6"
"SLIT2","DCC"
"IRAK4","TLR6"
"FGF12","FGFR1"
"FGF1","CD44"
"VIM","CD44"
"RGMA","BMPR1B"
"CGA","GPR84"
"NCAM1","FGFR2"
"FGF12","FGFR2"
"B2M","HFE"
"NCAM1","ROBO1"
"B2M","CD3G"
"B2M","KLRC1"
"PTHLH","TSHR"
"ADCYAP1","TSHR"
"VEGFA","ITGB3"
"CCL3","CCR3"
"CCL4","CCR3"
"SPON2","ITGAM"
"GDF10","ACVR1B"
"ADCYAP1","GPR84"
"CXCL5","ACKR1"
"CCL7","ACKR1"
"PTN","SDC3"
"ENTPD1","ADORA1"
"ENTPD1","ADORA2A"
"ENTPD1","ADORA2B"
"HLA-E","KLRC1"
"HLA-E","KLRC2"
"HLA-E","KLRK1"
"NECTIN3","NECTIN2"
"PLXNB2","SEMA4G"
"SEMA4G","PLXNB2"
"TAX1BP3","ADGRB1"
"THY1","ADGRE2"
"ADGRE5","LPAR2"
"ADGRE5","LPAR3"
"GAST","ADGRG1"
"DPEP1","CYSLTR1"
"DPEP2","CYSLTR1"
"DPEP3","CYSLTR1"
"DPEP1","CYSLTR2"
"DPEP2","CYSLTR2"
"DPEP3","CYSLTR2"
"CTSG","FPR1"
"ALOX12","FPR2"
"LRRC4B","PTPRD"
"LRRC4B","PTPRS"
"LRRC4C","PTPRF"
"LRRTM4","PTPRS"
"LTA4H","LTB4R"
"LTA4H","LTB4R2"
"PTGDS","PTGDR"
"PTGDS","PTGDR2"
"PTGES","PTGER1"
"PTGES2","PTGER1"
"PTGES3","PTGER1"
"PTGES","PTGER2"
"PTGES2","PTGER2"
"PTGES3","PTGER2"
"PTGES","PTGER3"
"PTGES2","PTGER3"
"PTGES3","PTGER3"
"PTGES","PTGER4"
"PTGES2","PTGER4"
"PTGES3","PTGER4"
"AKR1C3","PTGFR"
"CBR1","PTGFR"
"PRXL2B","PTGFR"
"PTGIS","PTGIR"
"SLITRK2","PTPRD"
"SLITRK2","PTPRS"
"SLITRK3","PTPRD"
"SLITRK4","PTPRS"
"SLITRK5","PTPRS"
"SLITRK6","PTPRS"
"TBXAS1","TBXA2R"
"PTGR1","LTB4R2"
"DAGLA","CNR1"
"DAGLA","CNR2"
"DAGLA","GPR55"
"DAGLB","CNR1"
"DAGLB","CNR2"
"DAGLB","GPR55"
"CD276","TREML2"
"ASMT","MTNR1A"
"PTGR1","LTB4R"
"CEL","RORA"
"DHCR24","RORA"
"LIPA","RORA"
"UBASH3B","PPARA"
"IGFBP3","TMEM219"
"NTN4","NTRK2"
"NTN4","UNC5B"
"TULP1","TYRO3"
"ADAM23","ITGA5"
"ADAM23","ITGB3"
"AGRN","ATP1A3"
"AGRN","DAG1"
"AGT","MAS1"
"ANOS1","SDC2"
"ANXA1","DYSF"
"ASIP","F11R"
"BDNF","NGFR"
"BMP2","BMPR1B"
"BMP6","BMPR1B"
"BMP4","BMPR1B"
"BMP6","BMPR1A"
"BMP7","BMPR1A"
"BMP8A","ACVR2A"
"BMP8A","ACVR2B"
"BMP8A","BMPR1A"
"BMP8A","BMPR2"
"CCL28","ACKR2"
"CCN2","ITGA5"
"CNTF","IL6R"
"COL1A1","GP6"
"COL1A2","GP6"
"COL2A1","MAG"
"COL3A1","MAG"
"COL5A1","SDC3"
"COL5A3","SDC3"
"COL9A1","MAG"
"COL9A2","MAG"
"COMP","CD47"
"CRLF1","CNTFR"
"CTHRC1","FZD3"
"CTHRC1","FZD5"
"CTHRC1","FZD6"
"CXCL10","SDC4"
"CXCL5","CXCR1"
"LAMA4","DAG1"
"EFNA5","EPHB6"
"F10","F3"
"FGG","ITGA5"
"FGG","ITGAV"
"GDF1","BMPR1A"
"GDF1","BMPR2"
"GDF11","ACVR2A"
"GDF5","ROR2"
"GNAI2","ADRA2B"
"ADRA2B","GNAI2"
"GNAI2","CNR1"
"GNAI2","EDNRA"
"GNAI2","EGFR"
"HBEGF","CD9"
"HGF","ST14"
"HLA-E","KLRD1"
"KLRD1","HLA-E"
"HLA-G","KLRD1"
"KLRD1","HLA-G"
"HMGB1","SDC1"
"HRAS","AGTR1"
"AGTR1","HRAS"
"HSPG2","ITGB1"
"ICAM4","ITGA2B"
"ICAM4","ITGB2"
"IL16","GRIN2D"
"IL16","KCNJ15"
"IL17C","IL17RA"
"INHBA","ACVR1C"
"LAMA1","ITGB1"
"LAMA2","DAG1"
"HTR2C","LIN7C"
"LIN7C","HTR2C"
"LTF","LRP11"
"LY86","CD180"
"MYOC","FZD1"
"MATN1","ITGB1"
"MFGE8","ITGAV"
"MMP9","EPHB2"
"MYOC","FZD10"
"MYOC","FZD3"
"MYOC","FZD4"
"MYOC","FZD7"
"NAMPT","INSR"
"NCAM1","ROBO3"
"NELL2","ROBO3"
"NPPB","NPR2"
"NXPH3","NRXN1"
"NXPH3","NRXN2"
"NXPH3","NRXN3"
"OMG","TNFRSF1B"
"PLA2G10","PLA2R1"
"PLAU","ST14"
"PRND","RPSA"
"PTDSS1","JMJD6"
"JMJD6","PTDSS1"
"PTDSS1","SCARB1"
"SCARB1","PTDSS1"
"PTMA","VIPR1"
"PTN","PLXNB2"
"QRFP","P2RY14"
"RELN","ITGA3"
"RSPO3","FZD8"
"RSPO3","LRP6"
"TYROBP","SEMA6D"
"SEMA6D","TYROBP"
"SERPING1","LRP1"
"SFRP1","FZD2"
"SLIT1","SDC1"
"SOSTDC1","LRP5"
"SOSTDC1","LRP6"
"TNC","CNTN1"
"TNC","ITGB3"
"VEGFC","VIPR2"
"WNT10A","FZD1"
"WNT11","FZD8"
"WNT2","FZD5"
"WNT5B","FZD8"
"WNT2","FZD7"
"WNT5A","FZD7"
"WNT5B","FZD2"
"WNT7A","FZD1"
"WNT7A","FZD10"
"ZP3","MERTK"
"APOB","LRP6"
"BMP3","ACVR2A"
"BMP4","ACVR1"
"BMP4","ACVR2A"
"TNC","ITGA2"
"TNC","ITGA8"
"AGRN","PTPRS"
"BMP6","ACVRL1"
"CCL13","CCR10"
"CCL5","CCRL2"
"CCL8","CCR8"
"HLA-A","CD8A"
"CRLF1","IL6ST"
"DAG1","CELSR3"
"ERVH48-1","SLC1A5"
"GDF10","ACVR2A"
"GDF10","BMPR1A"
"GDF10","TGFBR1"
"GDF3","ACVR1B"
"GDF3","ACVR1C"
"GDF3","ACVR2A"
"GDF3","ACVR2B"
"GDF7","ACVR2B"
"GDF7","BMPR1B"
"HLA-B","CD8A"
"HLA-C","CD8A"
"HLA-DRA","CD4"
"HLA-DRB1","CD4"
"HLA-E","CD8A"
"HLA-G","CD8A"
"HSP90AA1","LRP1"
"HSPG2","DAG1"
"IL25","IL17RA"
"IL27","IL6ST"
"IL33","IL1RAP"
"JAM3","ITGB2"
"LAMA1","DAG1"
"LAMA5","CD44"
"LAMA5","DAG1"
"LAMB1","DAG1"
"LAMB2","DAG1"
"LAMC1","DAG1"
"LCN2","SLC22A17"
"LGALS3","MERTK"
"NLGN3","PTPRD"
"NPY","GPR83"
"SLURP2","CHRNA3"
"SLURP2","CHRNA4"
"SLURP2","CHRNA7"
"SLURP2","CHRNB2"
"SLURP2","CHRNB4"
"TAFA5","FPR2"
"TAFA5","S1PR2"
"TNC","ITGB6"
"WNT11","FZD10"
"WNT11","FZD2"
"WNT11","FZD5"
"WNT5B","FZD1"
"WNT5B","FZD4"
"WNT5B","FZD5"
"WNT5B","FZD7"
"WNT9A","FZD1"
"SPP1","S1PR1"
"THBS3","CD36"
"SLURP1","CHRNA3"
"LAMA1","TMPRSS6"
"PSAP","CELSR1"
"BMP3","BMPR1A"
"CCN2","ERBB4"
"SLURP1","CHRNB4"
"THBS3","SDC1"
"SYTL3","NRXN1"
"SLURP1","CHRNA4"
"BMP3","BMPR2"
"BMP3","BMPR1B"
"GREM2","BMP4"
"LRP1B","PLAUR"
"COL1A1","SDC1"
"THBS4","SDC1"
"GREM1","BMP2"
"AMH","BMPR1B"
"SLURP1","CHRNA9"
"PON2","HTR2A"
"PDAP1","PDGFRB"
"EFEMP2","LINGO1"
"SLURP1","CHRNA10"
"IL16","GRIN2C"
"EFEMP2","CATSPER1"
"GDF9","FXYD6"
"ADCYAP1","DPP4"
"FN1","SDC1"
"GDF9","ORAI2"
"GDF10","BMPR2"
"JAM3","F11R"
"THBS2","SDC1"
"NPY","MC4R"
"GDF10","ACVR2B"
"KL","FGFR4"
"PTN","CDH10"
"DCN","TGFB1"
"IL16","KCND2"
"SLURP1","CHRNB2"
"KL","FGFR1"
"CCL5","ACKR4"
"OLFM2","ROBO2"
"KL","FGFR3"
"IL16","KCND1"
"CD36","TLR6"
"FN1","TMPRSS6"
"COL1A1","TMPRSS6"
"IL16","KCNA3"
"COL1A2","SDC1"
"DUSP18","ITGB1"
"DUSP18","ITGA6"
"DUSP18","ITGB4"
"DUSP18","RPSA"
"DUSP18","ITGA3"
"DUSP18","CD151"
"BMP5","BMPR1A"
"CCL18","ERG28"
"HRAS","GRIN2D"
"HRAS","TLR2"
"INHBC","ACVR1"
"INHBC","ACVR1B"
"PRSS23","TMEM222"
"ABCA1","SHANK1"
"SHANK1","ABCA1"
"SHBG","CD177"
"VEGFA","EPHB2"
"KLRD1","HLA-A"
"KLRD1","HLA-C"
"TNF","LTBR"
"CCL8","CXCR3"
"CCL4L2","CCR8"
"CCL11","CCR10"
"CCL8","CCR10"
"ERBB2","HLA-C"
"ERBB2","HLA-B"
"ERBB2","HLA-G"
"CLEC4M","ICAM1"
"CD209","ICAM1"
"PF4V1","LDLR"
"PF4V1","PROCR"
"PF4V1","SDC2"
"PF4V1","THBD"
"SHANK1","ADGRB2"
"SHANK1","ADGRL2"
"IGFBP1","IGF2"
"IGFBP3","IGF2"
"IGFBP3","IGF1"
"NRP1","KDR"
"UBC","RIPK1"
"ALOX5AP","ALOX5"
"KLB","FGFR1"
"NGFR","NTRK1"
"IGFBP4","IGF1"
"IGFBP5","IGF1"
"RPS27A","RIPK1"
"UBB","RIPK1"
"UBA52","RIPK1"
"IGFBP1","IGF1"
"NOTUM","WNT7A"
"SFRP2","WNT3A"
"FRZB","WNT3A"
"SFRP1","WNT3A"
"WIF1","WNT3A"
"RSPO1","WNT1"
"RSPO2","WNT1"
"RSPO3","WNT1"
"WIF1","WNT4"
"WIF1","WNT7A"
"WIF1","WNT9A"
"SFRP4","WNT7A"
"DKK1","WNT3A"
"TNF","RIPK1"
"SPARC","PDGFA"
"SPARC","PDGFB"
"CD36","TLR4"
"EXOC3-AS1","TRAF2"
"IGFBP4","IGF2"
"IGFBP6","IGF2"
"IGFBP5","IGF2"
"UBA52","ERBB2"
"CNTN2","L1CAM"
"GDF9","ACVR1C"
"CDNF","HSPA5"
"UBA52","NOTCH1"
"SLURP2","CHRNA1"
"SLURP2","CHRNA2"
"SLURP2","CHRNA5"
"SLURP2","CHRNA6"
"SLURP2","CHRNA9"
"SLURP2","CHRNA10"
"SLURP2","CHRND"
"SLURP2","CHRNE"
"HLA-DQA2","CD4"
"THBS1","TGFB1"
"FMOD","TGFB1"
"FMOD","TGFB2"
"FMOD","TGFB3"
"GUCA1B","GUCY2F"
"GUCA1B","GUCY2D"
"GREM2","BMP2"
"NOG","BMP5"
"LAMA5","SV2A"
"PORCN","WNT7B"
"PORCN","WNT4"
"PORCN","WNT6"
"CTSG","F2RL2"
"NCAM1","L1CAM"
"UBA52","ACVR1"
"UBA52","BMPR1B"
"RPS27A","TGFBR1"
"UBA52","TGFBR1"
"UBB","TGFBR1"
"UBC","FGFR2"
"UBC","LDLR"
"UBC","LRP2"
"UBA52","FSHR"
"HLA-DQB1","CD4"
"UBB","ERBB2"
"CALM1","ADCY8"
"COL2A1","CD44"
"UBC","SMAD3"
"COL4A1","CD44"
"NGFR","NTRK3"
"COL4A2","CD44"
"COL4A3","CD44"
"COL4A4","CD44"
"COL4A5","CD44"
"COL4A6","CD44"
"COL6A1","CD44"
"COL6A2","CD44"
"COL6A3","CD44"
"COL6A5","CD44"
"PRSS3","F2R"
"COL6A6","CD44"
"COL9A1","CD44"
"COL9A2","CD44"
"COL9A3","CD44"
"LAMA1","CD44"
"LAMA2","CD44"
"LAMA3","CD44"
"LAMA4","CD44"
"PNMT","ADRB2"
"PNMT","ADRB3"
"GZMA","F2R"
"PRSS2","F2R"
"LAMB1","CD44"
"CHRD","BMP2"
"LAMB2","CD44"
"PRSS1","F2R"
"GZMA","F2RL1"
"IL17RD","FGFR1"
"LAMB3","CD44"
"LAMC1","CD44"
"PRSS3","F2RL2"
"LAMC2","CD44"
"COL9A1","SDC1"
"COL9A2","SDC1"
"COL9A3","SDC1"
"TNR","SDC1"
"HLA-DPA1","CD4"
"TNN","SDC1"
"IGFBP2","IGF1"
"IGFBP2","IGF2"
"IGFBP6","IGF1"
"TNXB","SDC1"
"NGFR","NTRK2"
"COL6A5","SDC4"
"COL6A6","SDC4"
"COL9A1","SDC4"
"COL9A2","SDC4"
"COL9A3","SDC4"
"GZMA","F2RL2"
"TNR","SDC4"
"COL9A3","GP6"
"PRSS2","F2RL2"
"UBC","ADRB2"
"PRSS1","F2RL2"
"PORCN","WNT1"
"INHA","ACVR1B"
"INHA","ACVR1C"
"AMH","BMPR1A"
"BMP2","ACVRL1"
"BMP4","ACVRL1"
"BMP4","ACVR2B"
"BMP5","BMPR1B"
"BMP5","ACVR2A"
"BMP5","ACVRL1"
"BMP5","ACVR1"
"BMP5","ACVR2B"
"BMP5","BMPR2"
"BMP7","ACVRL1"
"BMP8A","ACVRL1"
"BMP8A","ACVR1"
"BMP8B","BMPR1B"
"BMP8B","ACVR2A"
"BMP8B","ACVRL1"
"BMP8B","ACVR2B"
"BMP8B","BMPR2"
"PI3","CELA2A"
"CRLF1","LIFR"
"CSF3","CSF1R"
"CSF2","CSF1R"
"PDGFC","FLT4"
"CSF3","CSF2RB"
"GDF1","BMPR1B"
"GDF1","TGFBR1"
"GDF1","ACVR1C"
"GDF10","BMPR1B"
"GDF10","ACVR1C"
"GDF3","BMPR1B"
"GDF3","BMPR1A"
"GDF3","TGFBR1"
"GDF3","BMPR2"
"GDF7","ACVR1B"
"GDF7","TGFBR1"
"GDF7","ACVR1C"
"GDF9","ACVR1B"
"GDF9","ACVR2B"
"IL1RN","IL1RAP"
"IL17B","IL17RA"
"IL1RN","IL2RG"
"IL1RN","IL2RA"
"IL1RN","IL2RB"
"IL36RN","IL1RAP"
"PDGFC","KDR"
"THBS1","SIRPA"
"LTA","TNFRSF19"
"S100A4","PGLYRP1"
"FASLG","TNFRSF1A"
"PLAU","MRC2"
"GDF15","TGFBR2"
"SLURP2","CHRNB1"
"WNT5A","FZD10"
"WNT5B","FZD10"
"WNT5B","FZD9"
"WNT11","FZD1"
"WNT11","FZD4"
"WNT11","FZD9"
"CCL27","CCR2"
"CCL27","CCR3"
