"source_group","target_group","ligand","receptor","score","ligand_avg","receptor_avg","ligand_pct","receptor_pct","lr_pair"
"Smooth_muscle_cells","CNV_Subclone_02","COL3A1","ITGB1",0.710281521933472,3.22163572071936,0.478860108047156,0.919962461455959,0.50046685340803,"COL3A1 -> ITGB1"
"Smooth_muscle_cells","CNV_Subclone_02","COL3A1","DDR1",0.702136350568029,3.22163572071936,0.459647933770387,0.919962461455959,0.515406162464986,"COL3A1 -> DDR1"
"CNV_Subclone_04","T_NK_CD56dim cytotoxic NK","B2M","KLRC2",0.697907823013218,2.55172149757382,0.75273900834663,0.978021978021978,0.371511068334937,"B2M -> KLRC2"
"CNV_Subclone_04","Myeloid_Macro-THBS1","COL1A2","CD44",0.696396671119769,0.659774170538422,2.3522579235153,0.45954045954046,0.976456009913259,"COL1A2 -> CD44"
"CNV_Subclone_04","Myeloid_Macro-THBS1","HSP90B1","TLR2",0.679166544751947,1.95193574241106,0.662678689410887,0.95004995004995,0.552664188351921,"HSP90B1 -> TLR2"
"CNV_Subclone_02","Myeloid_Macro-TIMD4","CCN1","ITGAM",0.672883018389391,1.70391715725019,0.811168966918683,0.788982259570495,0.617038875103391,"CCN1 -> ITGAM"
"CNV_Subclone_04","Myeloid_Macro-THBS1","PTGES3","PTGER2",0.654195157970779,1.3258920465319,0.835506243851952,0.912087912087912,0.647459727385378,"PTGES3 -> PTGER2"
"CNV_Subclone_04","B_PC_IGHG","MDK","SDC1",0.64722768343269,2.22986825201648,0.542881564909614,0.916083916083916,0.583629893238434,"MDK -> SDC1"
"CNV_Subclone_04","DC","UBC","TGFBR2",0.634677217555729,3.2017232099662,0.455546109528271,0.998001998001998,0.436018957345972,"UBC -> TGFBR2"
"CNV_Subclone_02","B_PC_IGHG","HMGB1","SDC1",0.617453951355908,2.01267043134521,0.542881564909614,0.968253968253968,0.583629893238434,"HMGB1 -> SDC1"
"Myeloid_Macro-TIMD4","CNV_Subclone_02","FN1","ITGB1",0.605808766901077,2.85890794446799,0.478860108047156,0.884201819685691,0.50046685340803,"FN1 -> ITGB1"
"CNV_Subclone_04","Myeloid_Monocyte-like","HLA-E","VSIR",0.589600059571996,0.6861052975883,1.60968347621365,0.66033966033966,0.808460634547591,"HLA-E -> VSIR"
"CNV_Subclone_03","Myeloid_Interferon-Responsive Myeloid","RPS27A","TLR4",0.584372624085967,4.1444164128023,0.338308002506024,0.993143976493634,0.419664268585132,"RPS27A -> TLR4"
"CNV_Subclone_02","Smooth_muscle_cells","CCN1","CAV1",0.580120402504307,1.70391715725019,0.822360442131366,0.788982259570495,0.524735219198284,"CCN1 -> CAV1"
"Myeloid_Macro-TIMD4","CNV_Subclone_02","FN1","ITGB8",0.576315164624651,2.85890794446799,0.468662515297441,0.884201819685691,0.486461251167134,"FN1 -> ITGB8"
"Myeloid_Monocyte-like","CNV_Subclone_02","VCAN","ITGB1",0.564256922936495,2.63638532746618,0.478860108047156,0.893066980023502,0.50046685340803,"VCAN -> ITGB1"
"T_NK_MAIT","CNV_Subclone_04","TGFB1","CXCR4",0.563710447835265,1.98606020004951,0.591415698755229,0.908132530120482,0.528471528471528,"TGFB1 -> CXCR4"
"Myeloid_Interferon-Responsive Myeloid","CNV_Subclone_04","TYROBP","CD44",0.556253212972026,3.92203180184706,0.357606161001,1,0.396603396603397,"TYROBP -> CD44"
"CNV_Subclone_03","DC","UBA52","TGFBR2",0.548642030149741,2.84579392767234,0.455546109528271,0.970617042115573,0.436018957345972,"UBA52 -> TGFBR2"
"CNV_Subclone_02","B_Early-PC_MS4A1low","LGALS3BP","ITGB1",0.538225102095152,0.894869136487933,1.00913612000657,0.739495798319328,0.805970149253731,"LGALS3BP -> ITGB1"
"Myeloid_Macro-Inflammatory_TNF","CNV_Subclone_04","SPP1","CD44",0.535532213786636,3.99896645184928,0.357606161001,0.944227005870842,0.396603396603397,"SPP1 -> CD44"
"Smooth_muscle_cells","CNV_Subclone_02","COL6A2","ITGB1",0.53185905995731,2.48889309542183,0.478860108047156,0.891674487196675,0.50046685340803,"COL6A2 -> ITGB1"
"T_NK_CD4+ T naive","CNV_Subclone_04","RPS27A","ERBB2",0.520713718506914,4.4708506201937,0.290735835250046,1,0.400599400599401,"RPS27A -> ERBB2"
"CNV_Subclone_04","T_NK_CD56dim cytotoxic NK","ERBB2","HLA-B",0.514846304994469,0.290735835250046,4.4204729781061,0.400599400599401,1,"ERBB2 -> HLA-B"
"Myeloid_Macro-THBS1","CNV_Subclone_02","THBS1","ITGB1",0.509619021823648,2.50156084661468,0.478860108047156,0.850061957868649,0.50046685340803,"THBS1 -> ITGB1"
"CNV_Subclone_04","Myeloid_Monocyte-like","HSP90B1","ASGR1",0.507515398647918,1.95193574241106,0.614508108547793,0.95004995004995,0.445358401880141,"HSP90B1 -> ASGR1"
"CNV_Subclone_02","Myeloid_Monocyte-like","C3","ITGB2",0.506406189913653,0.489596304653733,2.4975596714249,0.441643323996265,0.937720329024677,"C3 -> ITGB2"
"Smooth_muscle_cells","CNV_Subclone_04","COL1A1","CD44",0.505902250404632,3.8995134754689,0.357606161001,0.914733878535997,0.396603396603397,"COL1A1 -> CD44"
"CNV_Subclone_04","T_NK_CD8+ T CXCL13","ERBB2","HLA-A",0.503971450892888,0.290735835250046,4.32710142579904,0.400599400599401,1,"ERBB2 -> HLA-A"
"T_NK_CD8+ T CXCL13","CNV_Subclone_04","HLA-A","ERBB2",0.503971450892888,4.32710142579904,0.290735835250046,1,0.400599400599401,"HLA-A -> ERBB2"
"CNV_Subclone_04","T_NK_CD56bright regulatory","HLA-E","KLRD1",0.502429683430168,0.6861052975883,1.53470309577031,0.66033966033966,0.722591362126246,"HLA-E -> KLRD1"
"T_NK_CD56bright regulatory","CNV_Subclone_04","KLRD1","HLA-E",0.502429683430168,1.53470309577031,0.6861052975883,0.722591362126246,0.66033966033966,"KLRD1 -> HLA-E"
"CNV_Subclone_04","B_Early-PC_MS4A1low","ANP32B","TNFRSF17",0.497895578730637,0.651657961220234,1.20831357151006,0.683316683316683,0.925373134328358,"ANP32B -> TNFRSF17"
"CNV_Subclone_02","T_NK_CD4+ T naive","LAMB2","RPSA",0.486320062287808,0.347649454454229,3.48330950562938,0.404295051353875,0.993322203672788,"LAMB2 -> RPSA"
"CNV_Subclone_02","Myeloid_cDC2-like","GNAS","PTGIR",0.478796158069663,2.63109694044163,0.401034392026934,0.997198879551821,0.455040871934605,"GNAS -> PTGIR"
"CNV_Subclone_02","Myeloid_Macro-THBS1","LRPAP1","LRP1",0.47228084659909,0.672920639340038,1.2995564784584,0.663865546218487,0.813506815365551,"LRPAP1 -> LRP1"
