patient_id,timepoint,cluster,n_cells,cluster_fraction
"P06","Time2","15",7,0.0409356725146199
"P06","Time3","15",1,0.00115874855156431
"P07","Time1","15",612,0.140560404225999
"P07","Time2","15",221,0.0233565842316635
"P08","Time1","15",1,0.000204457166223676
"P08","Time2","15",2,0.000440528634361234
"P08","Time3","15",0,0
"P09","Time1","15",12,0.0099502487562189
"P09","Time2","15",1,0.000574052812858783
"P09","Time3","15",1,0.000705218617771509
"P10","Pre-treatment","15",0,0
"P11","Pre-treatment","15",3,0.000881834215167548
"P12","Pre-treatment","15",1,0.00016636167027117
"P13","Pre-treatment","15",3,0.00123102174805088
"P14","Pre-treatment","15",0,0
"P15","Pre-treatment","15",18,0.00771538791255894
"P16","Pre-treatment","15",15,0.00415742793791574
"P17","Pre-treatment","15",8,0.00218043063505042
"P18","Post-treatment","15",6,0.00352319436288902
"P19","Post-treatment","15",1,0.000605693519079346
"P20","Post-treatment","15",12,0.00858983536148891
"P21","Post-treatment","15",2,0.000344708721130645
"P23","Post-treatment","15",13,0.00424281984334204
"P24","Post-treatment","15",9,0.00385769395627947
"P01","Time1","16",0,0
"P01","Time2","16",0,0
"P02","Time1","16",0,0
"P02","Time2","16",0,0
"P02","Time3","16",0,0
"P03","Time1","16",0,0
"P03","Time2","16",0,0
"P03","Time3","16",0,0
"P04","Time1","16",0,0
"P04","Time2","16",0,0
"P04","Time3","16",0,0
"P05","Time1","16",0,0
"P05","Time2","16",0,0
"P05","Time3","16",0,0
"P06","Time1","16",0,0
"P06","Time2","16",0,0
"P06","Time3","16",0,0
"P07","Time1","16",0,0
"P07","Time2","16",0,0
"P08","Time1","16",1,0.000204457166223676
"P08","Time2","16",0,0
"P08","Time3","16",0,0
"P09","Time1","16",0,0
"P09","Time2","16",0,0
"P09","Time3","16",0,0
"P10","Pre-treatment","16",0,0
"P11","Pre-treatment","16",0,0
"P12","Pre-treatment","16",0,0
"P13","Pre-treatment","16",0,0
"P14","Pre-treatment","16",2342,0.656206220229756
"P15","Pre-treatment","16",0,0
"P16","Pre-treatment","16",3,0.000831485587583149
"P17","Pre-treatment","16",0,0
"P18","Post-treatment","16",0,0
"P19","Post-treatment","16",0,0
"P20","Post-treatment","16",1,0.000715819613457409
"P21","Post-treatment","16",0,0
"P23","Post-treatment","16",0,0
"P24","Post-treatment","16",0,0
"P01","Time1","17",0,0
"P01","Time2","17",0,0
"P02","Time1","17",0,0
"P02","Time2","17",0,0
"P02","Time3","17",0,0
"P03","Time1","17",0,0
"P03","Time2","17",0,0
"P03","Time3","17",0,0
"P04","Time1","17",0,0
"P04","Time2","17",0,0
"P04","Time3","17",0,0
"P05","Time1","17",0,0
"P05","Time2","17",0,0
"P05","Time3","17",0,0
"P06","Time1","17",0,0
"P06","Time2","17",0,0
"P06","Time3","17",0,0
"P07","Time1","17",1,0.000229673863114378
"P07","Time2","17",1,0.00010568590150074
"P08","Time1","17",0,0
"P08","Time2","17",0,0
"P08","Time3","17",0,0
"P09","Time1","17",0,0
"P09","Time2","17",0,0
"P09","Time3","17",0,0
"P10","Pre-treatment","17",0,0
"P11","Pre-treatment","17",0,0
"P12","Pre-treatment","17",0,0
"P13","Pre-treatment","17",2081,0.853918752564629
"P14","Pre-treatment","17",1,0.000280190529560101
"P15","Pre-treatment","17",3,0.00128589798542649
"P16","Pre-treatment","17",1,0.000277161862527716
"P17","Pre-treatment","17",8,0.00218043063505042
"P18","Post-treatment","17",0,0
"P19","Post-treatment","17",0,0
"P20","Post-treatment","17",11,0.0078740157480315
"P21","Post-treatment","17",0,0
"P23","Post-treatment","17",0,0
"P24","Post-treatment","17",0,0
