"gene","rho","p_value","n_groups","cnv_sd","expr_sd","padj"
"PPP3CB",0.0639677010887067,0.6523309601516,52,0.235435477898709,0.0805037292176297,0.808501094874142
"ZNF331",0.063950926495759,0.652416305460426,52,0.67491131197713,0.106855549812008,0.808501094874142
"MRPL27",0.0638392438270719,0.65298463389185,52,0.312509426705482,0.229396094330966,0.808973942060312
"MRPL32",0.0636670169537132,0.653861441170434,52,0.447887617880174,0.344215201030598,0.809542736687203
"CENPF",0.0634664357520085,0.65488318453708,52,0.67491131197713,0.268872438675365,0.810381172388035
"CDK9",0.0634455871500893,0.654989421522766,52,0.578655017224664,0.231104185434052,0.810381172388035
"SH3GL1",0.0634216907972682,0.655111197082208,52,0.382004714381845,0.104450829771279,0.810381172388035
"TREM1",0.0634152829418867,0.655143852957467,52,0.610367937893074,0.0132023291208296,0.810381172388035
"RNF145",0.0632723999899165,0.655872182707174,52,0.269069117598525,0.209573356728805,0.811094761158998
"IGHV3-11",0.0631655294382334,0.656417150817443,52,0.46604138242837,0.00845739132803859,0.811394013334462
"CDKN1C",0.0630956025094348,0.656773827222268,52,0.565472079505124,0.247127901042253,0.811647581588017
"KMT2E-AS1",0.062877511342077,0.657886732065348,52,0.397958591720272,0.0912702402611802,0.812647909811347
"PTPN11",0.0628449744541247,0.658052828775467,52,0.525015262293417,0.278226211643106,0.81266565619585
"APOBEC3C",0.0627600605036545,0.658486380865323,52,0.437237316097603,0.0864331045659789,0.813013613627171
"AKIP1",0.0624305057354518,0.660170069171535,52,0.344642250084035,0.237895226933993,0.814154015768533
"USP15",0.0623844929074934,0.660405280764548,52,0.340791377821662,0.144008585784182,0.814256603078941
"QDPR",0.0623125276980853,0.660773222789413,52,0.357530494222021,0.290015964675592,0.814522757482185
"NUDT1",0.0622582833225585,0.661050614713531,52,0.397958591720272,0.17344728234325,0.814677195675488
"LBR",0.0622087599199087,0.661303904207629,52,0.747797167230694,0.103347890457511,0.814801865869809
"YTHDF2",0.0620806097351523,0.661959508128273,52,0.489713185982251,0.316033463788703,0.815422061990578
"PAPSS1",0.0619942069852288,0.662401678122935,52,0.414663359072713,0.141644100069015,0.815697592500782
"ACOT13",0.061727004991105,0.663769818166239,52,0.525374247130092,0.180077591328772,0.816642595533509
"TBC1D2B",0.0616867532353963,0.663976011437676,52,0.533564241115052,0.149783786330327,0.816642595533509
"WHAMM",0.061678626489147,0.664017644426518,52,0.442807442770048,0.148297573336551,0.816642595533509
"SHKBP1",0.0616217573013013,0.664309011082956,52,0.525015262293417,0.278454521609917,0.816813375427069
"HIPK2",0.0614813104860561,0.665028794573596,52,0.194183909345154,0.0677457050170198,0.817135632882813
"ADSL",0.0611389628465512,0.666784564299055,52,0.437237316097603,0.114594984950687,0.818729510863306
"RBPJ",0.0609253209620115,0.667881149790544,52,0.357530494222021,0.153299343221797,0.819576391374051
"RCN2",0.060900917881191,0.66800645024133,52,0.533564241115052,0.42552678028995,0.819576391374051
"CD7",0.0607616609908792,0.668721652502517,52,0.541978388086036,0.182442308069205,0.820133708003195
"E2F4",0.0606324201885646,0.669385674575689,52,0.322602539032236,0.112742050181742,0.820418689479951
"DHRS1",0.0605312818025763,0.669905485069354,52,0.280056016805602,0.116560622765137,0.82049251727223
"ITPKB",0.0604317051494811,0.670417418688571,52,0.775764110249457,0.0844382239051225,0.820604159718326
"IFI27",0.0604274298240675,0.670439401892574,52,0.513395228487258,0.724264938925335,0.820604159718326
"NDUFV2",0.0604241485706134,0.670456273884876,52,0.416025147168922,0.455318537734229,0.820604159718326
"CD3E",0.060305529921286,0.671066311440886,52,0.469266620789964,0.300876803779014,0.820828744590022
"RBM26",0.0602990722856706,0.671099528110475,52,0.533564241115052,0.160583298690861,0.820828744590022
"NREP",0.0601790030054851,0.67171725175109,52,0.194183909345154,0.218480191286474,0.821209221725368
"DMXL2",0.0601371890927889,0.671932423414016,52,0.621388509904494,0.0484064517336601,0.821284815108505
"C1S",0.059752046730068,0.67391556471501,52,0.459523000112046,0.233060429277787,0.823332975504926
"RIC1",0.0596763122190612,0.674305789397828,52,0.518147297028362,0.149598313957871,0.823434064754849
"FYN",0.0592785795428829,0.676356513446055,52,0.639039154296497,0.147607251357603,0.825373772161556
"CLDN1",0.0592440632037238,0.676534591016047,52,0.539188262020282,0.511530667449312,0.825403022661036
"PHACTR1",0.0591767321734162,0.676882017446794,52,0.397958591720272,0.117196308084638,0.82550545161066
"FCMR",0.0590790983972978,0.677385923728883,52,0.740958573634948,0.0927909015406613,0.825689350817455
"MAGOHB",0.0588231147034303,0.678707768065059,52,0.498489422529764,0.131323689139057,0.826736139585276
"ARL5B",0.0585591526605969,0.680071815188839,52,0.437237316097603,0.13861263572216,0.827832873216233
"FAM118A",0.0585591526605969,0.680071815188839,52,0.437237316097603,0.106795989142625,0.827832873216233
"FAF2",0.0585591526605969,0.680071815188839,52,0.235435477898709,0.106908344980619,0.827832873216233
"LZIC",0.0584007534044402,0.680890845289942,52,0.412383719156125,0.0785314602781621,0.82846499340203
"CDK17",0.0583988930098301,0.680900466944685,52,0.441101049360128,0.0603579688288907,0.82846499340203
"TOPORS",0.0582414021200536,0.681715166309569,52,0.561120942324857,0.0936634550488603,0.829079571015906
"CNIH1",0.0579155570210251,0.683401902914705,52,0.340791377821662,0.382594693871785,0.830000134242893
"MS4A7",0.0578441875891616,0.683771551667632,52,0.194183909345154,0.174274665342742,0.830260809506197
"PNPLA8",0.0577401031951335,0.684310775083517,52,0.397958591720272,0.111793191952337,0.830576878466622
"RPL35A",0.0577340764261715,0.684342002366169,52,0.539188262020282,0.665831994891447,0.830576878466622
"TPCN1",0.0573397017569158,0.686386562523872,52,0.617431550422404,0.367370395161539,0.832303923223423
"PDLIM7",0.0568500024502352,0.688928414175146,52,0.342997170285018,0.251127332816093,0.834967031807832
"TMED4",0.0568265057157251,0.689050463142385,52,0.491250750789075,0.391545708633208,0.834967031807832
"GLYR1",0.0565302979172513,0.690589725928406,52,0.447887617880174,0.204580499665675,0.836357142919446
"SEC14L1",0.0564645130271249,0.690931750016225,52,0.54232614454664,0.186135891677662,0.836357142919446
"ELOVL5",0.0564619684810116,0.6909449806675,52,0.666760928479321,0.106141244319838,0.836357142919446
"NCOR1",0.0564349834948989,0.691085297743923,52,0.525015262293417,0.217910227384322,0.836357142919446
"ANKRD44",0.0564255097237506,0.691134562091387,52,0.574403750140058,0.0768212979931508,0.836357142919446
"GTF2IRD2B",0.0563490654010646,0.69153212490445,52,0.500376931828882,0.143244258421284,0.836649211878978
"MAPKAP1",0.0559987228876172,0.693355199452398,52,0.578655017224664,0.0575205426644091,0.838476055151737
"APLP2",0.0558785974951177,0.693980692140946,52,0.54232614454664,0.290960521792159,0.839043021920295
"UBE2B",0.0557513753864297,0.694643357875598,52,0.277350098112615,0.426918937186201,0.839465213172767
"ACP1",0.0556589139318873,0.69512510677156,52,0.442807442770048,0.269072356400461,0.839668487115127
"DYNC1H1",0.0553400482957705,0.696787396716878,52,0.486623482040275,0.410126784964764,0.841296955999909
"TLE3",0.0551336950859099,0.69786389755387,52,0.547860228126293,0.0562400671130325,0.842406814356215
"RAB5C",0.0550710457803131,0.698190842472677,52,0.397484549155683,0.215383757994067,0.842421750908686
"CCT2",0.0550298027950525,0.698406104907162,52,0.442807442770048,0.397287935395223,0.842472389887522
"RNF10",0.0548951422693178,0.699109111836639,52,0.646372871016508,0.282708967084228,0.84286979476755
"TRIP11",0.0547388209997056,0.699925514378967,52,0.525015262293417,0.109974343739375,0.843374815526153
"RBBP6",0.0545450656379243,0.700937886775907,52,0.241757017489212,0.376143079765014,0.843835316154587
"NEDD9",0.0544232943874908,0.701574405712982,52,0.397958591720272,0.111646453541599,0.844222088743818
"GMPS",0.0542645556107172,0.702404465073839,52,0.528237343245815,0.38616676965024,0.844787428128118
"DEF8",0.0542128086090052,0.702675129258918,52,0.561120942324857,0.111505715399546,0.844787428128118
"FAR1",0.0536792232722138,0.705468189217475,52,0.269069117598525,0.303461623049246,0.847764779324388
"GALT",0.0529768982252396,0.709150388723768,52,0.610058969036074,0.109585291536518,0.850543331564322
"HCST",0.052639278955537,0.710922836804972,52,0.574403750140058,0.261158285827259,0.852192140310642
"DANCR",0.0526128327915005,0.711061739180033,52,0.307645169843285,0.399265308048041,0.852192140310642
"HDGFL2",0.0524280280611019,0.7120326428068,52,0.397958591720272,0.202190791143776,0.852592630197456
"ZNRD1",0.05236163117189,0.712381581012353,52,0.444507285652881,0.221496137908271,0.852819791663425
"JMY",0.052076495871165,0.713880726910408,52,0.138675049056307,0.0670948788451005,0.854041807757906
"DPP3",0.0518536738120569,0.715052996964227,52,0.614063438486343,0.0720122574108554,0.855253204944261
"LDHB",0.0518069408596763,0.715298942502028,52,0.412383719156125,0.560951954770855,0.855356359910887
"ARRDC3",0.0517184841276289,0.715764549820101,52,0.138675049056307,0.116259155281199,0.85543360283035
"CMTM6",0.0517113081166237,0.715802326494232,52,0.42720460055934,0.165517741127326,0.85543360283035
"VAV1",0.0516429700055479,0.716162112601062,52,0.504504595497234,0.182826146051026,0.85543360283035
"RAB27A",0.0512465403208094,0.718250436756672,52,0.607581561972936,0.0856757932136005,0.85678159003758
"MARCKSL1",0.0510959393096211,0.719044313450721,52,0.312509426705482,0.560483751383677,0.857500993249905
"SFSWAP",0.0510611226005299,0.71922788778579,52,0.657650188731871,0.204624612112582,0.857500993249905
"TXNDC17",0.0510222081012148,0.719433086688645,52,0.536735004033697,0.356825944238469,0.857500993249905
"TDP2",0.0509713394967378,0.71970134999877,52,0.525015262293417,0.128997650924046,0.857500993249905
"PTBP3",0.0509583149858743,0.719770042118717,52,0.543714946166432,0.237337051134153,0.857500993249905
"RALA",0.0506442180313628,0.721427273272487,52,0.447887617880174,0.270339570939934,0.858277315781306
"IPO7",0.0504766620560715,0.722311847793361,52,0.297678296192606,0.136031334996879,0.859138853382465
"HMG20B",0.0503243615706431,0.723116196787839,52,0.364321307478654,0.131120955467893,0.859904607015024
"SLC35B2",0.050265357106192,0.723427898575875,52,0.682412100207641,0.184698191904186,0.860084311825169
"POP5",0.0502033876271869,0.723755311490183,52,0.646372871016508,0.150265459534701,0.860091734710766
"PTPRC",0.0501509324933197,0.724032494107052,52,0.609131122158358,0.273450703649329,0.860192877036369
"OIP5-AS1",0.0499886565106109,0.724890212429115,52,0.56912782893757,0.174493847031518,0.860295142426399
"SMIM14",0.049949320861482,0.725098173552603,52,0.307645169843285,0.221600869057823,0.860351310932153
"SLC25A29",0.0498632379591778,0.72555334831474,52,0.513395228487258,0.24729723045897,0.860700716184662
"AFF4",0.0496348051211145,0.726761672662152,52,0.235435477898709,0.318021349874285,0.861659663727802
"MICAL1",0.0496242331166854,0.726817610600771,52,0.640512615220349,0.0816425925993346,0.861659663727802
"CIRBP",0.0493695328528752,0.728165691153642,52,0.365870519176407,0.388636725912126,0.862462503719352
"RRP7A",0.0492094091203948,0.729013613868417,52,0.437237316097603,0.106038013963541,0.863085083085597
"PMPCA",0.0491448176314847,0.729355744116595,52,0.584812818927992,0.108035959745605,0.863299307290273
"GET4",0.0489985399908975,0.730130745257719,52,0.397958591720272,0.18820808428845,0.863453360918601
"IL16",0.0489020974809682,0.730641858578705,52,0.442807442770048,0.0490503709348014,0.863867062814027
"ARIH1",0.0487072542552709,0.731674816751369,52,0.547860228126293,0.152770519184181,0.864706601615254
"ACOT2",0.0485798068454216,0.732350732432236,52,0.435941795276363,0.0637837534604129,0.86520244768282
"PPP6R2",0.0485367752262176,0.73257899556415,52,0.425435629811517,0.0603819726760458,0.86520244768282
"STAT1",0.048476955816763,0.732896348378798,52,0.574403750140058,0.249622850853655,0.865386428994013
"SART1",0.0481809823365787,0.734467191970175,52,0.617431550422404,0.23473529692283,0.865951599459434
"NCF2",0.0481375476285337,0.734697807308384,52,0.54232614454664,0.0580739301737637,0.865951599459434
"FCER1G",0.0481199773362683,0.734791102863462,52,0.605094011867236,0.361118921872278,0.865951599459434
"MAPK6",0.0480923725501097,0.734937687705547,52,0.607581561972936,0.0660464872541013,0.865951599459434
"PBXIP1",0.0480821864501451,0.734991779526248,52,0.846205263760685,0.0837382488752972,0.865951599459434
"IGKV2D-28",0.048038873207258,0.735221802511119,52,0.435941795276363,0.00211072430022994,0.866032103419739
"SSNA1",0.0478700406606366,0.73611863861713,52,0.584812818927992,0.267295638347201,0.866707282574928
"SPG21",0.0478263619913796,0.736350715925298,52,0.500376931828882,0.210039900240224,0.866789985603493
"SH3GLB2",0.0477645857223998,0.736678990795576,52,0.555718930226211,0.4076286917616,0.866985865678116
"SRP72",0.0476617284984762,0.737225670422814,52,0.307645169843285,0.243718163423123,0.867438640330535
"LSM10",0.0475772214984297,0.737674916277405,52,0.565472079505124,0.216582051141695,0.867586045582297
"SAFB",0.0475136596031181,0.738012873581351,52,0.437237316097603,0.352782772505048,0.867792963974032
"UBE4A",0.0474028831248335,0.738601987194991,52,0.525015262293417,0.293810141760979,0.868104508101025
"ATL3",0.0473220384425437,0.739032016322276,52,0.509339619175793,0.156219241805827,0.868419368017137
"EHMT1",0.047256519649053,0.739380582037326,52,0.584812818927992,0.0618216445314889,0.868638385038807
"CD84",0.0472084680443975,0.739636253786949,52,0.712948543685086,0.240210324106758,0.868748196333969
"CCNI",0.0469793747112039,0.740855590932139,52,0.340791377821662,0.397481179759472,0.869608271977326
"TGS1",0.0468819468361229,0.741374337183151,52,0.561120942324857,0.215104838410997,0.869835914557055
"TPT1",0.0468339453964417,0.741629958606752,52,0.312509426705482,0.506019148994463,0.869863603480229
"NAP1L4",0.0468165210200417,0.74172275524537,52,0.550263888428083,0.222401353471885,0.869863603480229
"GBA",0.0464936894599588,0.743442710037069,52,0.848208119257686,0.0658801364753346,0.870960497614567
"SYNRG",0.0464883562606329,0.743471134259484,52,0.397958591720272,0.0711131339172287,0.870960497614567
"ARL8B",0.0463816487835431,0.744039921699183,52,0.574403750140058,0.161520778486046,0.87143621706119
"METTL23",0.0463029438656285,0.744459532697072,52,0.54232614454664,0.202820450078517,0.871737047906759
"GALNT1",0.0460533747009456,0.745790583090141,52,0.478812003967411,0.230233543871641,0.872869594604226
"TOX4",0.0460014529336999,0.746067594890664,52,0.459523000112046,0.145615441745069,0.872869594604226
"RPLP1",0.0458408485429143,0.7469246490306,52,0.525015262293417,0.441812708617028,0.873096556134416
"YBEY",0.04565982028544,0.747891057587267,52,0.334086629962587,0.107377933657895,0.873228302577638
"ZSCAN16-AS1",0.0456562067907822,0.74791035192968,52,0.498489422529764,0.125227405507332,0.873228302577638
"MFSD1",0.0456364997075916,0.748015581072853,52,0.509339619175793,0.25408989680848,0.873228302577638
"RALBP1",0.0451748264811028,0.750482058274718,52,0.416025147168922,0.267757116905511,0.875458923334662
"NSMAF",0.0451258945842157,0.750743621149385,52,0.639039154296497,0.229068980459741,0.875458923334662
"TYMP",0.0450389423789795,0.751208488105564,52,0.425435629811517,0.0934059058216962,0.875619730640566
"AGPAT2",0.0449923826735752,0.751457443259563,52,0.584812818927992,0.0831413437158606,0.875719335530509
"MAP2K3",0.0445336196781246,0.753911790593885,52,0.498489422529764,0.110487308453715,0.878197379386874
"MDK",0.0441179184919453,0.756137844864553,52,0.322602539032236,0.881475452639204,0.880024836396034
"TWISTNB",0.0440455190552943,0.756525740712574,52,0.457466958478476,0.139365846016699,0.88028500266273
"PABPN1",0.0435931655139721,0.758950667520779,52,0.388367818690309,0.54168700535896,0.881765677926528
"HDAC3",0.043481890776232,0.759547530251832,52,0.269069117598525,0.208373321897013,0.882267744963958
"SQSTM1",0.0433985623397041,0.759994583750853,52,0.533564241115052,0.504871852589852,0.882595618076663
"RHOA",0.0430498947043785,0.761866012471929,52,0.241757017489212,0.595610634794412,0.884193794756154
"MAP4",0.0428088709528258,0.763160467019688,52,0.241757017489212,0.26314306681978,0.885244745612654
"GNAI2",0.0427889642727818,0.76326740762495,52,0.241757017489212,0.414125102147703,0.885244745612654
"NUMB",0.0426894260936299,0.763802201999427,52,0.435941795276363,0.222261937427533,0.885410835173797
"FMNL3",0.0426708604053795,0.763901963017251,52,0.486235888603994,0.200154173885381,0.885410835173797
"FLOT2",0.0426700072104091,0.763906547673285,52,0.382004714381845,0.236307936341087,0.885410835173797
"SNX6",0.0426118966162127,0.764218824709104,52,0.307645169843285,0.350770105414495,0.88558113914798
