p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene,dataset_id,parent_cluster,subcluster
2.34509774683578e-16,1.39716240069239,0.788,0.35,8.12482565368725e-12,"1","YBX1","GSE147082","6","1"
2.63976382191526e-16,4.68622076124933,0.202,0.005,9.14572573740759e-12,"1","STIL","GSE147082","6","1"
2.85855040899163e-16,4.63017112870068,0.212,0.008,9.90373374699239e-12,"1","ZWINT","GSE147082","6","1"
3.03056588526142e-16,2.3619905464469,0.333,0.043,1.04996985660767e-11,"1","H2AFX","GSE147082","6","1"
3.68551512764226e-16,2.65765917038819,0.283,0.027,1.27688357112294e-11,"1","NCAPH","GSE147082","6","1"
3.99278933919826e-16,2.8231694910825,0.354,0.057,1.38334179445863e-11,"1","KIF20B","GSE147082","6","1"
4.05038653720326e-16,3.94750281325088,0.222,0.011,1.40329691967944e-11,"1","HMGB3","GSE147082","6","1"
4.47014844917795e-16,3.17988375048746,0.242,0.016,1.54872763170219e-11,"1","CENPH","GSE147082","6","1"
6.71684606217966e-16,1.65490653714136,0.636,0.205,2.32711848670276e-11,"1","PKM","GSE147082","6","1"
9.1823087016112e-16,3.29140650126004,0.283,0.03,3.18130267276022e-11,"1","FBXO5","GSE147082","6","1"
1.43877974098928e-15,0.841403922840596,0.99,0.949,4.98479629063145e-11,"1","ACTB","GSE147082","6","1"
1.51707658447384e-15,2.204595290743,0.525,0.154,5.25606353456808e-11,"1","ARL6IP1","GSE147082","6","1"
1.85340317039709e-15,2.45356716035639,0.354,0.057,6.42130062415776e-11,"1","RRM1","GSE147082","6","1"
2.14778454179836e-15,1.15478799612447,0.919,0.625,7.4412143235146e-11,"1","HNRNPA2B1","GSE147082","6","1"
2.89266475483304e-15,2.88249826980205,0.253,0.022,1.00219263095945e-10,"1","NCAPG2","GSE147082","6","1"
6.15715544003648e-15,1.79981666147618,0.455,0.102,2.13320807375504e-10,"1","H2AFY","GSE147082","6","1"
8.32850065854037e-15,2.53064383201519,0.283,0.032,2.8854923381579e-10,"1","HIRIP3","GSE147082","6","1"
1.59133679213695e-14,1.43076340841172,0.697,0.253,5.51334545003769e-10,"1","GNG5","GSE147082","6","1"
1.63740046992121e-14,3.18909338475231,0.242,0.022,5.67293766808903e-10,"1","DIAPH3","GSE147082","6","1"
1.98150284529544e-14,1.53900102890626,0.626,0.218,6.86511475781058e-10,"1","SLC25A5","GSE147082","6","1"
2.99928477291233e-14,1.6340679035017,0.566,0.173,1.03913220242321e-09,"1","SNRPD3","GSE147082","6","1"
3.47634374149265e-14,2.36826855113662,0.343,0.059,1.20441405267755e-09,"1","YEATS4","GSE147082","6","1"
3.54108805241476e-14,2.54650023514707,0.273,0.032,1.22684536663962e-09,"1","DTYMK","GSE147082","6","1"
4.76863137870803e-14,2.66667258489139,0.263,0.03,1.65214002746718e-09,"1","TMEM106C","GSE147082","6","1"
5.83010043024267e-14,1.75755931115512,0.444,0.105,2.01989659506188e-09,"1","CBX5","GSE147082","6","1"
8.11536734780134e-14,1.85492413434567,0.384,0.078,2.81165017131925e-09,"1","CKAP2","GSE147082","6","1"
8.56695473385476e-14,2.37613137017748,0.323,0.054,2.96810713709132e-09,"1","FABP5","GSE147082","6","1"
8.93136607962313e-14,2.76053989003857,0.293,0.043,3.09436109194623e-09,"1","ARHGAP11B","GSE147082","6","1"
9.12757590385246e-14,1.37633757169333,0.586,0.178,3.16233994764872e-09,"1","DNAJC8","GSE147082","6","1"
1.03095021070134e-13,1.99831383326286,0.424,0.1,3.57183009999586e-09,"1","CALM3","GSE147082","6","1"
1.20637832184949e-13,2.88936298325866,0.232,0.022,4.17961833387973e-09,"1","MCM4","GSE147082","6","1"
1.30378618348965e-13,4.00095067275407,0.202,0.013,4.51709761131823e-09,"1","FEN1","GSE147082","6","1"
1.32532809471097e-13,2.68891751332464,0.293,0.043,4.59173171693564e-09,"1","MCM7","GSE147082","6","1"
1.45921396310952e-13,1.62821299185304,0.545,0.175,5.05559269658924e-09,"1","SNRPF","GSE147082","6","1"
1.76567092021148e-13,1.48376912921004,0.616,0.213,6.11734347016469e-09,"1","NASP","GSE147082","6","1"
1.993298529841e-13,1.770006640771,0.566,0.189,6.90598208648712e-09,"1","COX5A","GSE147082","6","1"
2.30122750049338e-13,1.67408245637122,0.566,0.189,7.97283279820938e-09,"1","DNMT1","GSE147082","6","1"
3.04380249515109e-13,2.42192139585257,0.283,0.04,1.05455581247004e-08,"1","HELLS","GSE147082","6","1"
3.10927341211232e-13,2.3151983909943,0.263,0.032,1.07723886636044e-08,"1","MAD2L1","GSE147082","6","1"
3.18150475843317e-13,2.16336720743865,0.303,0.049,1.10226413860676e-08,"1","GMNN","GSE147082","6","1"
3.41851720859418e-13,2.03795261845111,0.333,0.059,1.18437947208954e-08,"1","VRK1","GSE147082","6","1"
4.38255441530478e-13,2.20317671147469,0.333,0.062,1.51837980272649e-08,"1","KPNA2","GSE147082","6","1"
4.46891665699922e-13,3.54542373776032,0.222,0.022,1.54830086498395e-08,"1","INCENP","GSE147082","6","1"
4.79038744794019e-13,2.09462296780686,0.364,0.075,1.65967763521336e-08,"1","SUGP2","GSE147082","6","1"
