"source_group","target_group","ligand","receptor","score","ligand_avg","receptor_avg","ligand_pct","receptor_pct"
"CNV_Subclone_04","B_Early-PC_MS4A1low","MIF","CD74",8.55434586094243,2.66794014087478,3.23870317412514,0.99000999000999,1
"CNV_Subclone_01","Myeloid_Macro-MCEMP1","MIF","CD74",8.3765766729723,2.54125547300835,3.98874764544222,0.829113924050633,0.996706915477497
"CNV_Subclone_02","Myeloid_Macro-LYVE1","MIF","CD74",8.27216677351947,2.56651718010494,3.29909751955054,0.990662931839402,0.986175115207373
"CNV_Subclone_02","B_Early-PC_MS4A1low","MIF","CD74",8.23457587791726,2.56651718010494,3.23870317412514,0.990662931839402,1
"CNV_Subclone_04","T_NK_CD8+ T resident memory","MIF","CD74",8.23309071637238,2.66794014087478,3.2212932419717,0.99000999000999,0.967647058823529
"CNV_Subclone_01","Myeloid_Proliferating Myeloid","MIF","CD74",8.21749133895672,2.54125547300835,3.93986072916007,0.829113924050633,0.989910313901345
"CNV_Subclone_03","Macrophages","MIF","CD74",8.15907944981986,3.0661623920733,3.35149696638882,0.969637610186092,0.818837505303352
"CNV_Subclone_01","Myeloid_Macro-M2-like","MIF","CD74",8.07135795533554,2.54125547300835,4.21557674664056,0.829113924050633,0.908713692946058
"CNV_Subclone_04","T_NK_CD8+ T cytotoxic","MIF","CD74",8.03777623400193,2.66794014087478,3.18293504280933,0.99000999000999,0.956076134699854
"Myeloid_Macro-MCEMP1","CNV_Subclone_02","TIMP1","CD63",7.99658990875457,4.4748490356526,1.88767337081777,0.998902305159166,0.947712418300654
"CNV_Subclone_02","T_NK_CD8+ T resident memory","MIF","CD74",7.92532957117022,2.56651718010494,3.2212932419717,0.990662931839402,0.967647058823529
"CNV_Subclone_02","Myeloid_Interferon-Responsive Myeloid","TIMP1","CD63",7.88311626135535,3.00434822873634,2.67428539375647,0.990662931839402,0.990407673860911
"CNV_Subclone_01","Monocytes","MIF","CD74",7.78047377825344,2.54125547300835,3.71964957214985,0.829113924050633,0.992753623188406
"CNV_Subclone_03","T_NK_CD8+ T CXCL13","MIF","CD74",7.75619497831666,3.0661623920733,2.90619843050884,0.969637610186092,0.897674418604651
"CNV_Subclone_02","T_NK_CD8+ T cytotoxic","MIF","CD74",7.73731613901768,2.56651718010494,3.18293504280933,0.990662931839402,0.956076134699854
"CNV_Subclone_05","Myeloid_Macro-LYVE1","MIF","CD74",7.73011808965304,2.59194329842544,3.29909751955054,0.916666666666667,0.986175115207373
"CNV_Subclone_05","B_Early-PC_MS4A1low","MIF","CD74",7.6949904054493,2.59194329842544,3.23870317412514,0.916666666666667,1
"CNV_Subclone_03","T_NK_CD4+ T regulatory","MIF","CD74",7.65643211294411,3.0661623920733,2.8161165104684,0.969637610186092,0.914473684210526
"CNV_Subclone_01","Myeloid_Macro-TIMD4","MIF","CD74",7.62246281976736,2.54125547300835,3.67237750421358,0.829113924050633,0.985111662531017
