label_type,cnv_subclone,neighbor_label,clone_n_cells,neighbor_n,observed_prop,expected_prop_perm_mean,enrichment_ratio,z_score,empirical_p_greater,empirical_p_less,global_prop
cell_type,Subclone_04,Smooth_muscle_cells,1001,337,0.011222111222111222,0.15123242139816284,0.07420440087093354,-18.818751843929952,1.0,0.000999000999000999,0.15121842436037788
cell_type,Subclone_04,T cells,1001,2503,0.08334998334998335,0.3097899854183197,0.26905318852522975,-23.953284410423755,1.0,0.000999000999000999,0.3094716782224385
cell_type,Subclone_05,B cells,96,14,0.004861111111111111,0.0596708282828331,0.08146545390772832,-7.667508945110802,1.0,0.000999000999000999,0.05946154158050521
cell_type,Subclone_05,DC,96,0,0.0,0.0333336740732193,0.0,-6.117274991403079,1.0,0.000999000999000999,0.03367392450229088
cell_type,Subclone_05,Macrophages,96,9,0.003125,0.2514382600784302,0.012428498347965146,-18.51222718220389,1.0,0.000999000999000999,0.2509427076997932
cell_type,Subclone_05,Monocytes,96,0,0.0,0.03946562856435776,0.0,-6.55718643153003,1.0,0.000999000999000999,0.03959372339131492
cell_type,Subclone_05,NK cells,96,0,0.0,0.023744437843561172,0.0,-5.056368560407098,1.0,0.000999000999000999,0.023719742123829216
cell_type,Subclone_05,Other,96,2725,0.9461805555555556,0.13143549859523773,7.198820453136229,79.78384975211063,0.000999000999000999,1.0,0.13191825811945018
cell_type,Subclone_05,Smooth_muscle_cells,96,53,0.01840277777777778,0.15157988667488098,0.12140646217297502,-12.05144306607369,1.0,0.000999000999000999,0.15121842436037788
cell_type,Subclone_05,T cells,96,79,0.027430555555555555,0.3093319535255432,0.08867676049280329,-20.28810128539706,1.0,0.000999000999000999,0.3094716782224385
