"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,7.38940494892516,0.236,0.003,0,"15","BCL11B"
0,7.34997026724273,0.202,0.002,0,"15","ITK"
0,7.32163455961778,0.387,0.009,0,"15","IL7R"
0,7.17968548887156,0.368,0.005,0,"15","ITM2A"
0,7.00206095550508,0.255,0.003,0,"15","GZMH"
0,6.94230278219277,0.389,0.003,0,"15","CD3E"
0,6.85429406258347,0.245,0.005,0,"15","CD6"
0,6.58138602318275,0.327,0.004,0,"15","GZMK"
0,6.39263168224942,0.343,0.005,0,"15","S1PR4"
0,6.38368325422198,0.224,0.003,0,"15","RHOH"
0,6.28022433947815,0.44,0.006,0,"15","CD2"
0,6.06744877505427,0.437,0.017,0,"15","RNF125"
0,5.99969565341155,0.252,0.007,0,"15","PDE3B"
0,5.79138848833692,0.716,0.04,0,"15","CXCR4"
0,5.76145019110057,0.431,0.007,0,"15","CD247"
0,5.16315321986227,0.278,0.025,0,"23","COL22A1"
0,4.22060796832376,0.377,0.06,0,"23","SLC7A2"
0,3.97622240654725,0.217,0.025,0,"23","KCNJ16"
0,3.49300031925723,0.247,0.047,0,"23","FN3K"
0,3.48318310248856,0.524,0.137,0,"23","CPM"
0,3.2961436975462,0.429,0.097,0,"23","ARL17A"
0,3.26040480844829,0.25,0.048,0,"23","SULT1C2"
0,3.16006358815493,0.215,0.038,0,"23","PREX2"
0,3.12591999960616,0.495,0.133,0,"23","RIMKLB"
0,3.03885653580871,0.238,0.056,0,"23","PTPRM"
0,3.03792234630542,0.212,0.053,0,"23","GULP1"
0,3.03089667245464,0.276,0.07,0,"23","STEAP2"
0,2.98894369279262,0.225,0.065,0,"23","IL15"
0,2.97153687320808,0.597,0.145,0,"23","IGFBP5"
0,2.92813927923676,0.37,0.1,0,"23","PCNX2"
0,2.89627851793061,0.214,0.053,0,"23","STRADA"
0,2.88734880615228,0.371,0.107,0,"23","DNAH14"
0,2.88482797285492,0.305,0.072,0,"23","MCOLN3"
0,2.86630918984056,0.2,0.057,0,"23","CTTNBP2"
0,2.86414957797747,0.399,0.155,0,"23","GCLM"
0,10.1140763305704,0.595,0.001,0,"25","KLRC1"
0,9.91498441089748,0.284,0.001,0,"25","SH2D1B"
0,9.40256852824762,0.6,0.002,0,"25","XCL2"
0,8.82219475441608,0.734,0.004,0,"25","IL2RB"
0,8.6189405864096,0.823,0.012,0,"25","GNLY"
0,8.54997953390573,0.493,0.005,0,"25","XCL1"
0,8.46039403489493,0.306,0.001,0,"25","TMIGD2"
0,7.77122930958151,0.265,0.001,0,"25","NCR3"
0,7.73818197473404,0.874,0.009,0,"25","KLRD1"
0,7.63987558243039,0.312,0.002,0,"25","PTGDR"
0,7.61482109135926,0.761,0.007,0,"25","PRF1"
0,7.55931746807461,0.744,0.007,0,"25","KLRB1"
0,7.54364814681541,0.954,0.016,0,"25","NKG7"
0,7.08739623560758,0.802,0.014,0,"25","CTSW"
0,7.03121876196598,0.506,0.007,0,"25","MATK"
0,6.93000202280357,0.78,0.012,0,"25","GZMA"
0,6.85229470506956,0.593,0.009,0,"25","GZMB"
0,6.79424960845943,0.474,0.006,0,"25","SAMD3"
0,6.76945228147284,0.485,0.011,0,"25","TNFRSF18"
0,6.62212473876068,0.4,0.014,0,"25","KLRF1"
0,4.72509334820672,0.517,0.063,0,"1","SST"
0,3.31378356667923,0.25,0.041,0,"1","OXTR"
0,3.30518213893772,0.505,0.123,0,"1","IGFBP5"
0,2.83341456354279,0.29,0.086,0,"1","ERP27"
0,2.81596902131285,0.707,0.377,0,"1","H2AFJ"
0,2.76132504703684,0.273,0.084,0,"1","ANXA6"
0,2.62765948875182,0.459,0.156,0,"1","MT1H"
0,2.59363504453982,0.425,0.164,0,"1","KRT23"
0,2.48299666931115,0.222,0.09,0,"1","LARP6"
0,2.4269274682373,0.696,0.293,0,"1","MT1G"
0,2.34356649896198,0.264,0.105,0,"1","RAB40B"
0,2.26191917140452,0.219,0.103,0,"1","ETFRF1"
0,2.22923437966056,0.661,0.438,0,"1","MLF2"
0,2.19770816325379,0.678,0.399,0,"1","LDHB"
0,2.17668976890319,0.431,0.177,0,"1","PEG10"
0,2.17248934758976,0.253,0.115,0,"1","SLC25A10"
0,2.13743870644472,0.262,0.134,0,"1","RAMP1"
0,2.10022822551379,0.245,0.134,0,"1","DOK5"
0,2.00846941102148,0.762,0.456,0,"1","CLU"
0,2.00286419419744,0.203,0.1,0,"1","LRIF1"
0,6.47647310689218,0.234,0.018,0,"13","RBFOX1"
0,6.2559231260774,0.316,0.022,0,"13","GRIA2"
0,5.51247903586112,0.308,0.033,0,"13","PDGFRA"
0,5.27252981195463,0.43,0.049,0,"13","PAPPA"
0,5.0318166682593,0.252,0.035,0,"13","PIEZO2"
0,4.98395581818135,0.231,0.032,0,"13","THBS2"
0,4.81792135246748,0.281,0.042,0,"13","CDON"
0,4.79191712995902,0.28,0.041,0,"13","CDH11"
0,4.69744075365377,0.37,0.062,0,"13","ST3GAL5"
0,4.64312087732626,0.301,0.061,0,"13","PDLIM3"
0,4.60322721044219,0.281,0.042,0,"13","FLRT2"
0,4.50071659507329,0.35,0.058,0,"13","ALDH1A3"
0,4.45371614651597,0.403,0.049,0,"13","VCAM1"
0,4.43920455933291,0.444,0.069,0,"13","CEMIP"
0,4.32509849094271,0.438,0.088,0,"13","MTSS1"
0,4.17065478342158,0.239,0.046,0,"13","ABI3BP"
0,4.16581393047825,0.261,0.055,0,"13","DDR2"
0,4.14851074034372,0.495,0.076,0,"13","MAF"
0,4.13227895221699,0.283,0.064,0,"13","LAMA4"
0,4.09104754986623,0.279,0.056,0,"13","MCTP2"
0,3.22418178329097,0.223,0.069,0,"6","NAA16"
0,3.0390561377492,0.36,0.127,0,"6","EZH2"
0,2.91279475804782,0.377,0.129,0,"6","HELLS"
0,2.81367154764435,0.932,0.6,0,"6","CCNL1"
0,2.75869048011991,0.267,0.131,0,"6","TFAP2A"
0,2.70736669793123,0.244,0.139,0,"6","RIPK2"
0,2.56220416369681,0.409,0.235,0,"6","HSPA1A"
0,2.54099330748077,0.202,0.107,0,"6","NAALADL2"
0,2.50534103085919,0.3,0.15,0,"6","IGF2BP3"
0,2.49280879763934,0.638,0.39,0,"6","IRF1"
0,2.44237449949719,0.475,0.287,0,"6","FMR1"
0,2.40500251767236,0.218,0.109,0,"6","PTBP2"
0,2.35603398719827,0.294,0.194,0,"6","ITSN2"
0,2.35049198030294,0.289,0.185,0,"6","ARMC8"
0,2.3447746422495,0.725,0.426,0,"6","IGF2BP2"
0,2.33564139257995,0.404,0.318,0,"6","ERO1A"
0,2.31550990507026,0.212,0.122,0,"6","USP31"
0,2.3073054259231,0.494,0.346,0,"6","DNAJB11"
0,2.30197637209658,0.439,0.276,0,"6","POLR2B"
0,2.28139787094604,0.244,0.135,0,"6","ZCCHC8"
0,4.3439516875884,0.212,0.018,0,"2","ANKRD18A"
0,4.22185536538383,0.235,0.029,0,"2","KLK1"
0,3.93539754029604,0.256,0.028,0,"2","DNHD1"
0,3.86492483625682,0.22,0.024,0,"2","CCNE2"
0,3.33836741446415,0.253,0.036,0,"2","FAM111B"
0,3.25768848719682,0.346,0.063,0,"2","CLSPN"
0,3.18659858779786,0.26,0.04,0,"2","CDCA7"
0,3.17277915177481,0.316,0.063,0,"2","BRCA1"
0,3.16155354884678,0.35,0.054,0,"2","KNTC1"
0,3.10222101292238,0.278,0.05,0,"2","XRCC2"
0,3.07858210674902,0.25,0.041,0,"2","WDR62"
0,3.07532122103515,0.309,0.081,0,"2","DNAJA4"
0,3.03068262062409,0.233,0.045,0,"2","CDC6"
0,3.02549552947595,0.346,0.07,0,"2","TNFRSF25"
0,2.94498332819184,0.228,0.054,0,"2","TFCP2L1"
0,2.92147384926851,0.755,0.314,0,"2","UBE2G2"
0,2.90190262549817,0.372,0.08,0,"2","C21orf58"
0,2.89241136183323,0.314,0.076,0,"2","MCM8"
0,2.82710218764181,0.34,0.076,0,"2","RRM2"
0,2.8262224972616,0.204,0.05,0,"2","ADAT1"
0,3.22622129693284,0.206,0.101,0,"9","CCHCR1"
0,3.11292145965684,0.213,0.065,0,"9","KCNC3"
0,3.06230655682241,0.266,0.097,0,"9","GABRE"
0,2.89737372468489,0.304,0.114,0,"9","LONRF2"
0,2.86006101671889,0.399,0.194,0,"9","KIFC2"
0,2.8278233064183,0.315,0.15,0,"9","VPS53"
0,2.82680020880317,0.388,0.233,0,"9","LRRC41"
0,2.77823531773488,0.226,0.101,0,"9","RPGR"
0,2.7402147653355,0.485,0.233,0,"9","PGGHG"
0,2.61423121146009,0.278,0.131,0,"9","ARL5B"
0,2.60225722797091,0.315,0.193,0,"9","ARFGAP1"
0,2.59964770317653,0.218,0.078,0,"9","COL27A1"
0,2.57020431034553,0.29,0.133,0,"9","WDR90"
0,2.55096810931717,0.568,0.318,0,"9","LENG8"
0,2.52153565387832,0.278,0.153,0,"9","PRUNE2"
0,2.51154355767716,0.286,0.139,0,"9","C18orf25"
0,2.48217481399384,0.256,0.131,0,"9","USP53"
0,2.47558385984924,0.211,0.111,0,"9","ACAP3"
