"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
1.63232711313839e-294,3.91365851692318,0.641,0.109,5.47449867204355e-290,"14","GZMB"
1.47335280451858e-286,3.60189027881544,0.769,0.179,4.94133063579442e-282,"14","AREG"
1.31226142639083e-304,3.30335529231939,0.896,0.253,4.40106237182957e-300,"14","NKG7"
2.54053031822902e-65,3.16842009194792,0.201,0.04,8.52043058127649e-61,"14","IL2RB"
1.22219818198442e-215,3.09620951217127,0.641,0.148,4.09900826273934e-211,"14","CTSW"
5.2794511549768e-58,3.03211566166057,0.287,0.085,1.77062232835612e-53,"14","CLIC3"
9.21684264122185e-78,2.97029664626548,0.35,0.099,3.09114468501298e-73,"14","CMC1"
6.6161728690805e-163,2.71171377920441,0.62,0.173,2.21893205683222e-158,"14","CD7"
4.80104693029548e-60,2.49462863698407,0.31,0.094,1.6101751194825e-55,"14","CD247"
8.45088939724666e-41,2.48190435612935,0.273,0.097,2.83425928604858e-36,"14","LDLRAD4"
0,6.62782725182425,0.798,0.03,0,"13","RGS5"
0,6.44905289813292,0.514,0.007,0,"13","CCDC102B"
0,6.2921804109429,0.286,0.004,0,"13","FAM162B"
0,6.10151798408012,0.289,0.005,0,"13","ABCC9"
0,6.09622515083151,0.632,0.016,0,"13","HIGD1B"
0,5.75113141621585,0.465,0.011,0,"13","KCNJ8"
0,5.37922321964735,0.482,0.017,0,"13","PLAC9"
0,5.35733186658672,0.279,0.006,0,"13","TBX2"
0,5.31509999022803,0.533,0.015,0,"13","TFPI"
0,5.26048459122266,0.263,0.006,0,"13","GUCY1A1"
0,5.15858594443589,0.226,0.006,0,"13","GJC1"
0,5.14519557925541,0.426,0.014,0,"13","CYGB"
0,5.13340933265614,0.235,0.006,0,"13","AC100793.2"
0,5.12843370698184,0.456,0.018,0,"13","SEPT4"
0,5.06896030785876,0.705,0.04,0,"13","LHFPL6"
0,4.99178989264875,0.284,0.011,0,"13","MAP3K7CL"
0,4.96876652555899,0.211,0.005,0,"13","RASL12"
0,4.94728335878996,0.551,0.023,0,"13","PLXDC1"
0,4.88175475885384,0.423,0.026,0,"13","SOD3"
0,4.86591684147687,0.63,0.036,0,"13","PDGFRB"
0,6.60934920252117,0.884,0.084,0,"22","JCHAIN"
1.85843752439162e-120,6.277937917797,0.841,0.42,6.23282776930461e-116,"22","IGHG4"
3.02445500940397e-167,6.07065174778259,0.957,0.53,1.0143417210539e-162,"22","IGHG3"
5.84472994755141e-12,5.69456316971489,0.765,0.785,1.96020552980979e-07,"22","IGLC2"
5.39191194616708e-17,5.32857220951969,0.538,0.358,1.80833942850552e-12,"22","IGLC3"
0,5.22483909055331,0.238,0.006,0,"22","TNFRSF17"
0,4.99997998839826,0.87,0.077,0,"22","MZB1"
2.68525257888642e-26,4.59554415839473,0.949,0.895,9.00580009906928e-22,"22","IGKC"
0,4.4891250906238,0.643,0.048,0,"22","DERL3"
0.0102515244944038,4.3112758016877,0.181,0.256,1,"22","IGHA1"
7.66619482741173e-65,4.30904841017302,0.318,0.065,2.57108842121735e-60,"22","IGHG2"
1.60792826470074e-185,4.17752495034613,0.931,0.358,5.39266981415336e-181,"22","IGHG1"
1.71968993889222e-151,2.99445157464469,0.523,0.085,5.76749611705672e-147,"22","FKBP11"
3.1527513499201e-109,2.9002675106141,0.693,0.214,1.0573697477362e-104,"22","XBP1"
3.48907942105467e-137,2.78156708561017,0.906,0.473,1.17016745623331e-132,"22","SSR4"
6.10568984469537e-78,2.31363472505438,0.498,0.129,2.04772626011393e-73,"22","SEC11C"
5.50856096492168e-106,2.00850423945315,0.347,0.049,1.84746117641543e-101,"22","CD79A"
1.94613674222826e-10,1.7922240234657,0.267,0.146,6.52695340608514e-06,"22","H1FX"
5.49846072084471e-46,1.76761097814691,0.419,0.131,1.8440737565569e-41,"22","SPCS3"
3.06471292035224e-11,1.73644036731536,0.217,0.102,1.02784341922773e-06,"22","ANKRD28"
0,4.96452904592146,0.625,0.023,0,"28","MKI67"
1.81719365268902e-315,4.94016142319568,0.525,0.02,6.09450407238843e-311,"28","RRM2"
8.35945870416544e-251,4.86405033908133,0.325,0.009,2.80359526020301e-246,"28","ASPM"
3.14529608977004e-236,4.76854017016907,0.308,0.009,1.05486940258707e-231,"28","GTSE1"
3.38610498661852e-258,4.73742180471032,0.4,0.014,1.13563189041212e-253,"28","CCNA2"
2.30356359799052e-227,4.26957473345593,0.658,0.044,7.72569159494062e-223,"28","TOP2A"
3.75414989596151e-249,4.2427834629442,0.625,0.036,1.25906679210757e-244,"28","NUSAP1"
7.13643741961525e-100,4.1523068702202,0.208,0.01,2.39341838179056e-95,"28","CENPE"
4.38117771376589e-125,4.08282739589412,0.275,0.014,1.4693593816428e-120,"28","CENPA"
4.19048021516404e-205,3.96585963760244,0.6,0.04,1.40540325456172e-200,"28","BIRC5"
1.37676097779875e-102,3.96522004506003,0.217,0.01,4.61738096734144e-98,"28","CEP55"
1.39843073977309e-75,3.95799142093636,0.208,0.013,4.690057015051e-71,"28","CDT1"
7.72067841051562e-127,3.89615469136606,0.342,0.021,2.58936112531873e-122,"28","ASF1B"
5.58346800948933e-82,3.89242247532029,0.217,0.013,1.87258350102253e-77,"28","PLK1"
5.5824066582694e-155,3.83308134417785,0.367,0.019,1.87222754505039e-150,"28","CLSPN"
1.04858127632179e-123,3.7862655853537,0.975,0.235,3.51673188452801e-119,"28","HMGB2"
1.72908257428302e-136,3.78488048532077,0.333,0.018,5.79899713763038e-132,"28","SPC25"
3.78753393026904e-130,3.77673569131981,0.375,0.024,1.27026312953363e-125,"28","AURKB"
2.46865045006338e-94,3.7103793530446,0.242,0.014,8.27935987942257e-90,"28","NUF2"
1.3973472239247e-161,3.70666857858056,0.625,0.055,4.68642311959865e-157,"28","TYMS"
1.44357768953209e-196,5.09472004216448,0.372,0.048,4.84147085515274e-192,"15","S100A2"
9.9846772800911e-126,3.90143690908917,0.262,0.036,3.34866106619695e-121,"15","FAM104B"
2.36967333261408e-133,3.31264966716489,0.297,0.043,7.94741042292109e-129,"15","SMIM22"
1.28022272271047e-106,3.25676478155335,0.783,0.503,4.29361096742638e-102,"15","WFDC2"
1.70514008335847e-59,3.10867289100891,0.237,0.054,5.71869881156764e-55,"15","HIST1H1C"
1.55151998352475e-47,2.8878748311645,0.362,0.138,5.20348772074532e-43,"15","CRYAB"
2.52653884574785e-56,2.77222412972309,0.691,0.488,8.47350598086915e-52,"15","SLPI"
2.1382020038891e-47,2.77096362187324,0.429,0.196,7.17110188064326e-43,"15","HSD17B10"
4.77414231382938e-89,2.73882876252277,0.387,0.098,1.6011518492121e-84,"15","S100A1"
