"source_group","target_group","n_lr_pairs","total_score","mean_score","max_score","top_ligand","top_receptor"
"Myeloid_Macro-THBS1","Myeloid_Macro-TIMD4",268,96.7744397250043,0.361098655690315,7.43519665501568,"MIF","CD74"
"Myeloid_Macro-C3/CX3CR1","Myeloid_Monocyte-like",212,96.7397257678178,0.456319461168952,6.48786849430182,"MIF","CD74"
"Myeloid_Proliferating Myeloid","Myeloid_cDC2-like",315,96.6041226401985,0.306679754413329,15.1401457113585,"MIF","CD74"
"Myeloid_Interferon-Responsive Myeloid","Myeloid_cDC2",307,96.5521427187483,0.314502093546411,15.9565087900902,"MIF","CD74"
"Myeloid_Macro-LYVE1","T_NK_¦Ã¦ÄT",153,95.7962593970616,0.626119342464455,6.22188949228248,"B2M","CD3D"
"T_NK_CD8+ T CXCL13","Myeloid_Macro-THBS1",140,95.7593182517303,0.683995130369502,7.801960116789,"B2M","LILRB2"
"Myeloid_Interferon-Responsive Myeloid","T_NK_Th17",170,95.6975946497775,0.562927027351632,6.55261176045182,"B2M","CD3D"
"T_NK_CD8+ T resident memory","Monocytes",169,94.8464738423179,0.56122173871194,6.58093496341882,"MIF","CD74"
"Myeloid_Proliferating Myeloid","T_NK_¦Ã¦ÄT",155,94.6691697206605,0.610768836907487,7.14477025140187,"MIF","CD74"
"Myeloid_cDC2","Myeloid_Macro-TIMD4",271,94.6017688543674,0.349084017912795,7.1553456466405,"MIF","CD74"
"DC","Monocytes",325,94.5009920131011,0.290772283117234,6.03125133428842,"MIF","CD74"
"Myeloid_Monocyte-like","Monocytes",227,94.4691041163544,0.416163454257068,5.62185126068747,"VIM","CD44"
"T_NK_CD4+ T effector","Myeloid_Macro-THBS1",150,94.3671635644241,0.629114423762827,8.33611093711816,"MIF","CD74"
"Myeloid_Macro-THBS1","Myeloid_Monocyte-like",223,94.1255886473633,0.422087841467997,7.4282518922185,"MIF","CD74"
"Myeloid_cDC2-like","Myeloid_cDC2-like",264,93.7789262107353,0.355223205343694,10.4548542835636,"MIF","CD74"
"Myeloid_mDC_LAMP3","Myeloid_Macro-LYVE1",262,93.7172307608594,0.357699354049082,7.60104436251003,"VIM","CD44"
"Myeloid_cDC1","T_NK_¦Ã¦ÄT",111,93.6166024639343,0.843392814990399,7.3062837353348,"B2M","CD3D"
"Monocytes","T_NK_¦Ã¦ÄT",149,93.551452365109,0.627862096410128,7.08317508211247,"B2M","CD3D"
"Myeloid_Proliferating Myeloid","Myeloid_Monocyte-like",241,93.2950761901604,0.387116498714358,8.96310273356287,"MIF","CD74"
"T_NK_CD56dim cytotoxic NK","T_NK_MAIT",82,93.2883505913981,1.13766281209022,6.8120049724405,"B2M","CD3D"
"Myeloid_cDC2-like","Myeloid_Macro-MCEMP1",234,93.2874681935597,0.398664393989571,6.80806031042703,"MIF","CD74"
