"source_group","target_group","ligand","receptor","score","ligand_avg","receptor_avg","ligand_pct","receptor_pct"
"Smooth_muscle_cells","CNV_Subclone_04","LUM","ITGB1",0.268560774789708,1.82023522355595,0.43703079079987,0.637618983777986,0.529470529470529
"B_Classical-Bm_TXNIP","CNV_Subclone_02","UBA52","ERBB2",0.268486729299614,2.9735932563285,0.273685599521673,0.984202211690363,0.335200746965453
"Myeloid_Monocyte-like","CNV_Subclone_03","FPR1","ANXA1",0.268448471771343,1.35006882469382,0.658703827243518,0.732079905992949,0.412340842311459
"Myeloid_Macro-C3/CX3CR1","CNV_Subclone_02","UBC","ERBB2",0.268235651734793,2.9969772148634,0.273685599521673,0.975609756097561,0.335200746965453
"Myeloid_cDC2","CNV_Subclone_04","CD14","ITGB1",0.268227248444783,1.52825215762324,0.43703079079987,0.758497316636851,0.529470529470529
"NK cells","CNV_Subclone_04","UBC","ERBB2",0.267863683715623,2.5704529361698,0.290735835250046,0.894736842105263,0.400599400599401
"Myeloid_cDC2-like","CNV_Subclone_02","UBA52","ERBB2",0.267808254131745,2.92719741266925,0.273685599521673,0.997275204359673,0.335200746965453
"NK cells","CNV_Subclone_02","CALM1","PTPRA",0.267470333777257,2.23655224568272,0.324310707288082,0.907894736842105,0.406162464985994
"T_NK_CD56dim cytotoxic NK","CNV_Subclone_04","CCL5","SDC4",0.267149223034342,3.96266224700047,0.224778703079891,0.965351299326275,0.310689310689311
"Myeloid_Proliferating Myeloid","CNV_Subclone_02","HSP90AA1","ERBB2",0.267061925910299,2.93411164963114,0.273685599521673,0.992152466367713,0.335200746965453
"DC","CNV_Subclone_02","UBC","ERBB2",0.266653355496168,3.02117961674418,0.273685599521673,0.962085308056872,0.335200746965453
"Myeloid_Proliferating Myeloid","CNV_Subclone_01","SPP1","ITGB1",0.265894894518295,2.97810481882985,0.422434078784257,0.811659192825112,0.260397830018083
"T_NK_CD56bright regulatory","CNV_Subclone_02","UBC","ERBB2",0.265566808579929,2.95366576728429,0.273685599521673,0.980066445182724,0.335200746965453
"B cells","CNV_Subclone_02","UBC","ERBB2",0.265425107454828,2.91982828008311,0.273685599521673,0.990895295902883,0.335200746965453
"T_NK_CD8+ T CXCL13","CNV_Subclone_04","UBA52","ERBB2",0.265262018381667,2.46065990805402,0.290735835250046,0.925581395348837,0.400599400599401
"Myeloid_Macro-Inflammatory_M1","CNV_Subclone_04","UBA52","ERBB2",0.264920940258521,2.44559269772692,0.290735835250046,0.930086410054988,0.400599400599401
"Myeloid_Macro-M2-like","CNV_Subclone_03","MIF","CD74",0.26482072339029,1.64652401910038,0.68055018883845,0.640041493775934,0.3692458374143
"T_NK_CD4+ T regulatory","CNV_Subclone_04","UBA52","ERBB2",0.264543730586875,2.4719485839929,0.290735835250046,0.918859649122807,0.400599400599401
"T_NK_¦Ã¦ÄT","CNV_Subclone_04","CCL5","SDC4",0.264319178435901,3.81803752184165,0.224778703079891,0.991304347826087,0.310689310689311
"Myeloid_Macro-MCEMP1","CNV_Subclone_04","PKM","CD44",0.264254932507499,1.97599978919555,0.357606161001,0.942919868276619,0.396603396603397
"Smooth_muscle_cells","CNV_Subclone_02","HLA-A","APLP2",0.263949712288162,2.02327108945572,0.363421229798927,0.826786432497654,0.434173669467787
"B_Classical-Bm_TXNIP","CNV_Subclone_02","LTB","LTBR",0.263845540520912,2.68481182267062,0.286378865760736,0.925750394944708,0.370681605975724
"T_NK_CD4+ T regulatory","CNV_Subclone_02","TIGIT","NECTIN2",0.263673419037678,1.20147561372951,0.625455261571845,0.552631578947368,0.634920634920635
"T_NK_CD8+ T resident memory","CNV_Subclone_02","CALM1","MYLK",0.263340749986484,2.62376894192781,0.297025249173998,0.967647058823529,0.349206349206349
"DC","CNV_Subclone_02","HLA-A","ERBB2",0.26300121748999,2.93640577365073,0.273685599521673,0.976303317535545,0.335200746965453
"B_Bn_TCL1A","CNV_Subclone_04","UBC","ERBB2",0.2623681512463,2.48131966977195,0.290735835250046,0.907861369399831,0.400599400599401
"B_Early-PC_MS4A1low","CNV_Subclone_04","UBA52","ERBB2",0.262364269349461,2.25266094333201,0.290735835250046,1,0.400599400599401
"T_NK_CD4+ T effector","CNV_Subclone_02","CALM1","MYLK",0.26123920600201,2.60453678441787,0.297025249173998,0.96701310438319,0.349206349206349
"Myeloid_Macro-TIMD4","CNV_Subclone_02","UBC","ERBB2",0.261169966373067,2.89962536722642,0.273685599521673,0.981803143093466,0.335200746965453
"T_NK_MAIT","CNV_Subclone_02","CALM1","MYLK",0.260918190104118,2.5936482037324,0.297025249173998,0.969879518072289,0.349206349206349
"T_NK_CD4+ T regulatory","CNV_Subclone_02","CALM1","PTPRA",0.260766616105299,2.26247018528087,0.324310707288082,0.875,0.406162464985994
"Monocytes","CNV_Subclone_02","UBA52","ERBB2",0.260745573840322,2.8525706450389,0.273685599521673,0.996376811594203,0.335200746965453
"T_NK_CD4+ T naive","CNV_Subclone_05","HLA-A","APLP2",0.260586348817768,3.43062480032547,0.332011119163791,0.998330550918197,0.229166666666667
"Myeloid_cDC1","CNV_Subclone_02","UBA52","ERBB2",0.260530888763157,2.83989508748524,0.273685599521673,1,0.335200746965453
"Myeloid_Proliferating Myeloid","CNV_Subclone_02","UBC","ERBB2",0.260509494431218,2.86860520643943,0.273685599521673,0.989910313901345,0.335200746965453
"B_PC_IGHG","CNV_Subclone_02","UBC","ERBB2",0.260335841261501,2.88917784705158,0.273685599521673,0.98220640569395,0.335200746965453
"Myeloid_cDC2","CNV_Subclone_02","UBA52","ERBB2",0.260284868890605,2.83721336851211,0.273685599521673,1,0.335200746965453
"Myeloid_cDC2","CNV_Subclone_04","TGFB1","ITGB8",0.260196181824836,1.45573487835154,0.406115420093365,0.915921288014311,0.480519480519481
"NK cells","CNV_Subclone_04","LTB","LTBR",0.259955655520114,2.79798250799295,0.283995819274531,0.802631578947368,0.407592407592408
"Myeloid_cDC2-like","CNV_Subclone_04","TGFB1","CXCR4",0.259925803338148,1.00398548147298,0.591415698755229,0.828337874659401,0.528471528471528
"T_NK_Th17","CNV_Subclone_05","HLA-A","APLP2",0.259777459690081,3.41896589191528,0.332011119163791,0.998625429553265,0.229166666666667
"Smooth_muscle_cells","CNV_Subclone_01","APP","CD74",0.259186378617445,0.865403283227866,1.13880587017172,0.605979353800778,0.433996383363472
"Myeloid_Macro-MCEMP1","CNV_Subclone_01","CD14","ITGB1",0.259107938889275,2.53349107675844,0.422434078784257,0.929747530186608,0.260397830018083
