dataset_id,cluster,n_cells,n_samples,total_samples_in_dataset,dominant_sample,dominant_sample_n,dominant_sample_fraction,normalized_shannon_entropy,simpson_diversity,effective_sample_number,dominance_label,cluster_sample_cramers_v,cluster_patient_cramers_v,cluster_timepoint_cramers_v,cluster_treatment_cramers_v
"GSE154600","16",386,2,5,"T77",385,0.99740932642487,0.0111945575721237,0.00516792397111332,1.00519477014829,"strong_sample_dominance",0.853084075735489,0.853084075735489,NA,NA
"GSE154600","17",371,2,5,"T76",370,0.997304582210243,0.0115807003341668,0.00537630502539233,1.00540536592136,"strong_sample_dominance",0.853084075735489,0.853084075735489,NA,NA
"GSE154600","18",367,4,5,"T89",214,0.583106267029973,0.450285562331564,0.492898454959202,1.97199162530563,"mixed",0.853084075735489,0.853084075735489,NA,NA
"GSE154600","19",352,5,5,"T77",211,0.599431818181818,0.627254205448704,0.563985020661157,2.29349918554716,"mixed",0.853084075735489,0.853084075735489,NA,NA
"GSE154600","2",3183,4,5,"T89",1674,0.525918944392083,0.435692744240231,0.499845383042907,1.99938172336373,"mixed",0.853084075735489,0.853084075735489,NA,NA
"GSE154600","20",347,2,5,"T90",184,0.530259365994236,0.429538037647537,0.498168741539254,1.99270169631775,"mixed",0.853084075735489,0.853084075735489,NA,NA
"GSE154600","21",327,4,5,"T59",248,0.758409785932722,0.371403657534438,0.370750685033995,1.58919521438656,"moderate_sample_dominance",0.853084075735489,0.853084075735489,NA,NA
"GSE154600","22",277,4,5,"T89",165,0.595667870036101,0.599247479462781,0.56143048912406,2.28014026329084,"mixed",0.853084075735489,0.853084075735489,NA,NA
"GSE154600","23",258,1,5,"T76",258,1,0,0,1,"strong_sample_dominance",0.853084075735489,0.853084075735489,NA,NA
"GSE154600","24",244,2,5,"T89",156,0.639344262295082,0.406225393854454,0.461166353130879,1.85586034912718,"moderate_sample_dominance",0.853084075735489,0.853084075735489,NA,NA
"GSE154600","25",204,2,5,"T76",203,0.995098039215686,0.0192359965622102,0.00975586312956556,1.00985197767532,"strong_sample_dominance",0.853084075735489,0.853084075735489,NA,NA
"GSE154600","26",175,2,5,"T77",174,0.994285714285714,0.0218778186051575,0.0113632653061224,1.01149387323711,"strong_sample_dominance",0.853084075735489,0.853084075735489,NA,NA
"GSE154600","27",126,5,5,"T59",88,0.698412698412698,0.556099208864724,0.469009826152683,1.88327402135231,"moderate_sample_dominance",0.853084075735489,0.853084075735489,NA,NA
"GSE154600","28",120,5,5,"T59",83,0.691666666666667,0.575668964113147,0.481388888888889,1.92822710230316,"moderate_sample_dominance",0.853084075735489,0.853084075735489,NA,NA
"GSE154600","29",72,2,5,"T76",71,0.986111111111111,0.0454755841094715,0.0273919753086418,1.02816342721142,"moderate_sample_dominance",0.853084075735489,0.853084075735489,NA,NA
